sample_name,plot,grid,evacuation_datetime,collection_datetime.x,collection_datetime.y,doc_mg_l,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX,Abs_250nm,Abs_254nm,Abs_280nm,Abs_350nm,Abs_365nm,Abs_412nm,Abs_440nm,C_RSU,A_RSU,T_RSU,B_RSU,M_RSU,FDOM_RSU
TMP_FW_C3_20230607_1600,Freshwater,C3,2023-06-07T13:02:00Z,2023-06-07T13:02:00Z,2023-06-07T21:34:00Z,4.51,0.013167,0.99901,0.016941,0.99992,0.77725,4.8871,1.4597,0.92516,0.52231,0.53541,0.17307,0.16852,0.16852,0.045247,0.035414,0.015656,0.010516,0.65636,1.1049,0.16751,0.08911,0.56833,0.49606
TMP_FW_C3_20230607_0800,Freshwater,C3,2023-06-06T20:40:00Z,2023-06-07T21:34:00Z,2023-06-07T13:02:00Z,6.18,0.013092,0.9993,0.01681,0.99993,0.77884,4.8556,1.4608,0.91852,0.51882,0.52972,0.24593,0.23924,0.23924,0.064676,0.050648,0.022485,0.014871,0.86725,1.4457,0.24121,0.13476,0.74661,0.662
TMP_FW_D5_20230607_1600,Freshwater,D5,2023-06-07T13:21:00Z,2023-06-07T13:21:00Z,2023-06-07T22:05:00Z,5.98,0.014265,0.99887,0.01848,0.99974,0.77192,5.5276,1.5226,0.93649,0.55764,0.56771,0.20093,0.19527,0.19527,0.047211,0.03635,0.014711,0.0092337,0.86995,1.5022,0.20146,0.092868,0.74046,0.67172
TMP_FW_D5_20230607_0800,Freshwater,D5,2023-06-06T20:50:00Z,2023-06-07T22:05:00Z,2023-06-07T13:21:00Z,7.08,0.01419,0.99927,0.018576,0.9997,0.76389,5.534,1.53,0.93225,0.55506,0.56275,0.24151,0.23467,0.23467,0.056806,0.043641,0.017479,0.010728,0.98206,1.6959,0.24203,0.11283,0.84163,0.76874
TMP_FW_F4_20230607_1600,Freshwater,F4,2023-06-07T12:40:00Z,2023-06-07T12:40:00Z,2023-06-07T21:54:00Z,4.65,0.013879,0.99936,0.017416,0.99988,0.79689,5.1807,1.4751,0.92303,0.5305,0.53982,0.17654,0.1713,0.1713,0.04377,0.034077,0.014628,0.0095213,0.67521,1.1428,0.18436,0.10586,0.58667,0.50279
TMP_FW_H3_20230607_1600,Freshwater,H3,2023-06-07T12:27:00Z,2023-06-07T12:27:00Z,2023-06-07T20:54:00Z,4.17,0.015153,0.9991,0.019534,0.9998,0.77575,6.103,1.596,0.90514,0.59663,0.60684,0.1239,0.12012,0.12012,0.026825,0.020302,0.0078523,0.0048499,0.62539,0.97972,0.1763,0.10206,0.56834,0.42761
TMP_FW_H3_20230607_0800,Freshwater,H3,2023-06-06T22:00:00Z,2023-06-07T20:54:00Z,2023-06-07T12:27:00Z,4.69,0.015077,0.99843,0.019402,0.99982,0.77711,6.0611,1.5752,0.90511,0.58907,0.59572,0.13569,0.13151,0.13151,0.029523,0.022387,0.0087471,0.005413,0.67236,1.0414,0.19234,0.11192,0.60702,0.46173
TMP_FW_H6_20230607_1600,Freshwater,H6,2023-06-07T12:15:00Z,2023-06-07T12:15:00Z,2023-06-07T20:43:00Z,8.16,0.014358,0.9993,0.018804,0.99985,0.76357,5.6167,1.5602,0.93219,0.57348,0.58535,0.2525,0.24485,0.24485,0.058834,0.044955,0.018058,0.01118,1.1347,1.9117,0.27882,0.15416,1.0199,0.8426
TMP_FW_H6_20230607_0800,Freshwater,H6,2023-06-06T21:36:00Z,2023-06-07T20:43:00Z,2023-06-07T12:15:00Z,8.28,0.014166,0.9996,0.018223,0.99989,0.77739,5.4398,1.5648,0.9336,0.57761,0.58266,0.28242,0.2741,0.2741,0.067524,0.051918,0.021546,0.013595,1.2438,2.078,0.30545,0.16689,1.1099,0.93747
TMP_FW_I5_20230607_1600,Freshwater,I5,2023-06-07T12:01:00Z,2023-06-07T12:01:00Z,2023-06-07T21:04:00Z,4.08,0.013678,0.9984,0.016433,0.99991,0.83235,5.0201,1.481,0.92362,0.53019,0.54172,0.15296,0.14868,0.14868,0.038786,0.03047,0.013933,0.0097149,0.6872,1.1805,0.16645,0.090885,0.61013,0.50895
TMP_FW_I5_20230607_0800,Freshwater,I5,2023-06-06T21:45:00Z,2023-06-07T21:04:00Z,2023-06-07T12:01:00Z,7.46,0.013969,0.99956,0.017497,0.99986,0.79835,5.2482,1.4971,0.93645,0.55777,0.56539,0.25416,0.24684,0.24684,0.06227,0.048429,0.020681,0.01311,1.1318,1.9698,0.266,0.14412,0.99396,0.87562
TMP_SW_E3_20230810,Saltwater,E3,2023-08-07T15:59:00Z,2023-08-10T15:42:00Z,2023-08-10T15:59:00Z,29.26,0.011971,0.99926,0.015465,0.99988,0.77405,4.2255,1.4605,0.94233,0.50719,0.52627,1.2795,1.2509,1.2509,0.3792,0.3028,0.14218,0.093769,2.98,5.1035,0.65882,0.33897,2.4305,2.4366
TMP_SW_H3_20230810,Saltwater,H3,2023-08-07T15:59:00Z,2023-08-10T16:03:00Z,2023-08-10T15:59:00Z,40.67,0.011099,0.99922,0.014346,0.99992,0.77365,3.8324,1.2897,0.9313,0.43478,0.45709,2.2123,2.1672,2.1672,0.71241,0.57727,0.28767,0.19867,3.9016,6.8189,0.87012,0.69392,2.8697,3.3103
TMP_SW_C6_20230810,Saltwater,C6,2023-08-07T15:59:00Z,2023-08-10T15:31:00Z,2023-08-10T15:59:00Z,46.25,0.011139,0.99911,0.014891,0.99996,0.74803,3.9821,1.3617,0.94717,0.47413,0.48909,2.2089,2.1593,2.1593,0.69102,0.55471,0.27012,0.18415,3.9923,7.0032,0.86768,0.40766,3.22,3.2399
TMP_C_H6_20230810,Control,H6,2023-08-07T15:59:00Z,2023-08-10T14:08:00Z,2023-08-10T15:59:00Z,17.54,0.013906,0.99954,0.018672,0.99976,0.74476,5.1801,1.5212,0.93049,0.53121,0.54068,0.60776,0.59296,0.59296,0.15301,0.11732,0.047165,0.028896,2.1563,3.4166,0.52468,0.32728,1.7741,1.6448
TMP_SW_B4_20230607_1600,Saltwater,B4,2023-06-07T13:02:00Z,2023-06-07T13:02:00Z,2023-06-07T21:23:00Z,4.27,0.015938,0.99971,0.014617,0.99955,1.0904,5.5662,1.6922,0.74503,0.8244,0.84933,0.075918,0.0736,0.0736,0.017096,0.013639,0.006983,0.0054897,0.32054,0.46777,0.19111,0.15697,0.30073,0.20509
TMP_SW_B4_20230607_0800,Saltwater,B4,2023-06-06T20:31:00Z,2023-06-07T21:23:00Z,2023-06-07T13:02:00Z,4.18,0.015525,0.99719,0.01479,0.99667,1.0496,5.5173,1.6999,0.73638,0.82946,0.85162,0.083569,0.081079,0.081079,0.019001,0.015147,0.0077471,0.0061853,0.3378,0.50399,0.23459,0.1812,0.31077,0.22469
TMP_SW_C3_20230607_1600,Saltwater,C3,2023-06-07T12:15:00Z,2023-06-07T12:51:00Z,2023-06-07T21:33:00Z,5.71,0.01606,0.99817,0.017769,0.99984,0.90382,6.2305,1.7544,0.73598,0.86297,0.88238,0.12199,0.11823,0.11823,0.025252,0.019579,0.0084331,0.0057185,0.70735,1.0568,0.33904,0.19523,0.58987,0.47194
TMP_SW_C3_20230607_0800,Saltwater,C3,2023-06-06T20:19:00Z,2023-06-07T21:33:00Z,2023-06-07T12:51:00Z,6.15,0.01602,0.99891,0.019446,0.99987,0.82383,6.5352,1.7312,0.75332,0.83364,0.85045,0.12964,0.12588,0.12588,0.026247,0.019837,0.0076813,0.0048172,0.74755,1.1346,0.35228,0.22395,0.62519,0.51535
TMP_SW_D5_20230607_1600,Saltwater,D5,2023-06-07T13:25:00Z,2023-06-07T13:25:00Z,2023-06-07T21:11:00Z,4.04,0.015088,0.99285,0.014036,0.99734,1.0749,5.242,1.7863,0.68206,0.90378,0.92405,0.058293,0.056433,0.056433,0.013677,0.01112,0.0059424,0.0048249,0.30023,0.42619,0.19347,0.15192,0.26462,0.18945
TMP_SW_D5_20230607_0800,Saltwater,D5,2023-06-06T21:48:00Z,2023-06-07T21:11:00Z,2023-06-07T13:25:00Z,3.87,0.016731,0.9957,0.016744,0.99947,0.99922,6.1981,1.7515,0.73211,0.85968,0.88513,0.06949,0.067257,0.067257,0.01448,0.011211,0.0051021,0.0036165,0.35397,0.51982,0.1906,0.13852,0.30334,0.23511
TMP_SW_E3_20230607_1600,Saltwater,E3,2023-06-07T12:23:00Z,2023-06-07T12:32:00Z,2023-06-07T21:03:00Z,3.79,0.014761,0.99626,0.013702,0.99971,1.0773,5.0426,1.7532,0.66596,0.91736,0.95595,0.056608,0.054881,0.054881,0.013864,0.011226,0.0059669,0.0047578,0.2692,0.36979,0.17568,0.17509,0.24353,0.16901
TMP_SW_E3_20230607_0800,Saltwater,E3,2023-06-06T20:58:00Z,2023-06-07T21:03:00Z,2023-06-07T12:32:00Z,3.82,0.015553,0.99648,0.012465,0.9993,1.2477,4.8664,1.7214,0.69347,0.88493,0.91422,0.070936,0.068867,0.068867,0.017736,0.014577,0.0082035,0.0064262,0.33055,0.45994,0.19294,0.19402,0.29,0.21368
