Abs_250nm,Abs_254nm,Abs_280nm,Abs_350nm,Abs_365nm,Abs_412nm,Abs_440nm,C_RSU,A_RSU,T_RSU,B_RSU,M_RSU,FDOM_RSU,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX,sample_name,Event,Plot,Timepoint,Grid
0.28167,0.27366,0.27366,0.068008,0.052285,0.021573,0.01328,1.1593,1.9509,0.36924,0.25277,1.0223,0.87634,0.01394,0.99959,0.018192,0.99987,0.76626,5.3873,1.5074,0.91711,0.58705,0.59618,TMP_FW_POOL_T3_CDOM,TMP,FW,T3,POOL
0.13137,0.12803,0.12803,0.026707,0.021086,0.0098247,0.0066005,0.55559,0.92269,0.32948,0.26255,0.57493,0.32709,0.018426,0.99911,0.015972,0.99996,1.1536,6.2302,1.5892,0.82883,0.75393,0.76138,TMP_ESTUARY_BARGE_HR8_CDOM,TMP,ESTUARY,HR8,BARGE
0.18821,0.18263,0.18263,0.044935,0.03449,0.014253,0.0089602,0.86744,1.4234,0.21159,0.12,0.77052,0.61822,0.013965,0.99917,0.018268,0.9999,0.76447,5.4568,1.5258,0.92529,0.56557,0.57306,TMP_FW_H6_T2_CDOM,TMP,FW,T2,H6
0.0027461,0.0025828,0.0025828,0.00033654000000000003,2.4919e-4,2.8307e-4,3.6083e-4,0.0048538,0.014284,0.0069504,0.021221,0.0066495,0.0016612,-0.0022382,0.1661,0.0018731,0.11323,-1.1949,11.0197,8.03,0.26939,1.1142,1.1142,TMP_FW_SOURCE_HR5_CDOM,TMP,FW,HR5,SOURCE
0.0019475,0.0018718,0.0018718,1.7306e-4,8.2064e-5,1.5191e-4,2.3964e-4,0.0045087,0.01686,0.0040048,0.013063,0.0076024,0.0010154,-0.0064095,0.57138,1.0524e-4,4.2156e-5,-60.9028,23.7319,-0.11815,0.28607,1.0435,1.0577,TMP_FW_SOURCE_HR4_CDOM,TMP,FW,HR4,SOURCE
0.04986,0.048224,0.048224,0.0093393,0.006921,0.0026224,0.0017056,0.25363,0.87548,0.6806,0.20885,0.35564,0.1593,0.01518,0.99261,0.020463,0.99992,0.74182,7.2041,1.81,0.10225,1.0907,1.1173,TMP_SW_WELL_T3_CDOM,TMP,SW,T3,WELL
0.47772,0.46515,0.46515,0.11631,0.088933,0.035581,0.021886,1.6975,2.5055,0.39731,0.26017,1.413,1.2837,0.013951,0.99818,0.018789,0.99981,0.74252,5.3717,1.5551,0.92331,0.55027,0.56641,TMP_C_POOL_T3_CDOM,TMP,C,T3,POOL
0.0038479,0.0035203,0.0035203,5.1183e-4,3.9462e-4,3.8677e-4,4.3227e-4,0.0084077,0.024578,0.0026926,0.019361,0.012939,0.0019883,0.0052024,0.7447,0.0033549,0.43811,1.5507,9.751,27.9428,0.48888,0.73164,0.81649,TMP_FW_SOURCE_HR7_CDOM,TMP,FW,HR7,SOURCE
0.1274,0.12416,0.12416,0.026494,0.02097,0.0099581,0.0067986,0.57667,0.94846,0.36067,0.29281,0.59261,0.34531,0.018275,0.99907,0.015714,0.99995,1.163,6.0753,1.5697,0.83108,0.73401,0.74442,TMP_SW_SOURCE_HR3_CDOM,TMP,SW,HR3,SOURCE
0.12751,0.12428,0.12428,0.026597,0.021074,0.010032,0.0068744,0.57697,0.96083,0.35566,0.30056,0.5871,0.349,0.018248,0.99909,0.015669,0.99993,1.1646,6.0508,1.6086,0.83234,0.7328,0.7536,TMP_SW_SOURCE_HR3_CDOM,TMP,SW,HR3,SOURCE
0.1125,0.10871,0.10871,0.020483,0.015266,0.0055346,0.0032538,0.67481,0.99668,0.3621,0.26393,0.55232,0.46254,0.017242,0.99701,0.020693,0.99976,0.83319,7.3693,1.7699,0.69873,0.875,0.89286,TMP_SW_POOL_T2_CDOM,TMP,SW,T2,POOL
0.40648,0.39466,0.39466,0.091723,0.069844,0.027703,0.016726,1.9518,3.437,0.51619,0.25783,1.7644,1.5143,0.014804,0.99916,0.018961,0.99983,0.78076,5.8198,1.5409,0.92897,0.58229,0.58809,TMP_FW_POOL_PreW_CDOM,TMP,FW,PreW,POOL
0.13431,0.13088,0.13088,0.027227,0.021639,0.010374,0.0070343,0.56449,0.92338,0.38633,0.3439,0.58237,0.33371,0.018539,0.9992,0.015451,0.99993,1.1999,6.207,1.6001,0.79714,0.7503,0.75908,TMP_SW_SOURCE_HR0_CDOM,TMP,SW,HR0,SOURCE
0.092635,0.089909,0.089909,0.021405,0.016438,0.0064788,0.0039572,0.31591,0.53281,0.09785,0.053271,0.27576,0.23732,0.014504,0.99703,0.018827,0.99961,0.77035,5.6353,1.5673,0.90161,0.63395,0.636,TMP_FW_WELL_T2_CDOM,TMP,FW,T2,WELL
0.0034228,0.0032666,0.0032666,4.3438e-4,2.9846e-4,7.1227e-5,8.1638e-5,0.0054135,0.017559,0.016128,0.031066,0.010054,0.0018203,0.0058314,0.90935,0.027906,0.9668,0.20897,11.4684,-0.23206,0.22163,0.63868,0.63868,TMP_FW_SOURCE_HR3_CDOM,TMP,FW,HR3,SOURCE
0.36589,0.35513,0.35513,0.084281,0.064365,0.025577,0.015736,1.5868,2.6556,0.40962,0.24223,1.3833,1.2119,0.014724,0.99926,0.018978,0.99977,0.77582,5.6847,1.5501,0.92922,0.56288,0.57329,TMP_FW_POOL_20220615_CDOM,TMP,FW,20220615,POOL
0.1289,0.12574,0.12574,0.026938,0.021223,0.0096124,0.0063373,0.57532,0.94524,0.34568,0.26756,0.5798,0.34548,0.018104,0.99903,0.016483,0.99989,1.0983,6.0733,1.6087,0.83862,0.74501,0.76496,TMP_SW_SOURCE_HR2_CDOM,TMP,SW,HR2,SOURCE
0.21197,0.20584,0.20584,0.049624,0.038081,0.015521,0.0096161,0.91559,1.5388,0.26887,0.1543,0.81555,0.68064,0.014475,0.99903,0.018443,0.99985,0.78484,5.5663,1.5039,0.91639,0.56533,0.57599,TMP_FW_POOL_T1_CDOM,TMP,FW,T1,POOL
0.17006,0.16524,0.16524,0.037738,0.028922,0.011792,0.0074667,0.79229,1.2283,0.31061,0.23187,0.65901,0.58819,0.015392,0.99834,0.018516,0.99988,0.83128,5.8799,1.6909,0.82916,0.78714,0.79251,TMP_SW_POOL_T1_CDOM,TMP,SW,T1,POOL
0.0043171,0.0042232,0.0042232,9.1044e-4,6.5244e-4,2.6904e-4,2.1811e-4,0.010242,0.03109,0.011023,0.024863,0.011171,0.0045799,8.2328e-4,0.11924,0.016459,0.98886,0.050019,6.6168,2.1045,0.59995,0.72734,0.72734,TMP_FW_SOURCE_HR1_CDOM,TMP,FW,HR1,SOURCE
0.092447,0.089861,0.089861,0.022968,0.018115,0.007704,0.0049037,0.33288,0.57219,0.1274,0.12989,0.27736,0.25507,0.013943,0.99704,0.017213,0.99937,0.81002,5.1034,1.6096,0.83785,0.68229,0.68581,TMP_FW_WELL_T1_CDOM,TMP,FW,T1,WELL
0.30231,0.29349,0.29349,0.067242,0.051131,0.020094,0.012196,1.369,2.2892,0.36119,0.21664,1.2102,1.0332,0.014945,0.99945,0.019099,0.99981,0.78252,5.9125,1.5373000000000001,0.92962,0.5795,0.59484,TMP_FW_POOL_20220613_CDOM,TMP,FW,20220613,POOL
0.42859,0.41606,0.41606,0.098532,0.075349,0.030148,0.018233,2.1021,3.6976,0.52838,0.24615,1.9107,1.6392,0.014517,0.99916,0.018719,0.99981,0.77554,5.688,1.5585,0.93504,0.5948,0.60247,TMP_FW_POOL_T0_CDOM,TMP,FW,T0,POOL
0.12108,0.11811,0.11811,0.024479,0.019323,0.0090472,0.0060492,0.54627,0.91006,0.33669,0.28598,0.56242,0.32951,0.018598,0.99896,0.015922,0.99995,1.1681,6.2662,1.5772,0.82801,0.74903,0.76821,TMP_SW_SOURCE_HR7_CDOM,TMP,SW,HR7,SOURCE
0.12308,0.12007,0.12007,0.025149,0.019795,0.0090269,0.0059461,0.57086,0.94071,0.33951,0.25774,0.57873,0.34252,0.018385,0.99895,0.016316,0.99994,1.1268,6.2181,1.6019,0.83449,0.7419,0.74308,TMP_SW_SOURCE_HR4_CDOM,TMP,SW,HR4,SOURCE
0.47451,0.46191,0.46191,0.1138,0.086693,0.033925,0.020609,1.8118,2.8003,0.44046,0.25579,1.5452,1.3488,0.014293,0.9988,0.019154,0.99976,0.74622,5.4734,1.5588,0.92928,0.55306,0.56604,TMP_C_POOL_20220615_CDOM,TMP,C,20220615,POOL
0.53065,0.51654,0.51654,0.12254,0.092367,0.034775,0.020669,2.0092,3.1758,0.45033,0.23774,1.7029,1.5061,0.014609,0.99894,0.019953,0.99973,0.73219,5.745,1.5269,0.92111,0.55996,0.56699,TMP_C_POOL_T2_CDOM,TMP,C,T2,POOL
0.055921,0.054111,0.054111,0.010621,0.0079419,0.0029293,0.0018271,0.26839,1.1666,0.87843,0.23326,0.43868,0.17449,0.015415,0.99333,0.020486999999999998,0.99978,0.75246,7.0413,1.7696,0.082921,1.0937,1.1305,TMP_SW_WELL_T2_CDOM,TMP,SW,T2,WELL
0.2106,0.20464,0.20464,0.051635,0.039959,0.016767,0.010485,0.8947,1.5148,0.2344,0.13718,0.79688,0.67525,0.013872,0.99902,0.017781,0.99985,0.78018,5.2704,1.4875,0.93036,0.55697,0.5626,TMP_FW_POOL_T2_CDOM,TMP,FW,T2,POOL
0.13184,0.12868,0.12868,0.028241,0.022391,0.010383999999999999,0.0069053,0.59069,0.99036,0.36661,0.30657,0.59837,0.35371,0.017839,0.99904,0.01595,0.99993,1.1184,5.888,1.5878,0.82717,0.74237,0.75312,TMP_SW_SOURCE_HR1_CDOM,TMP,SW,HR1,SOURCE
0.11967,0.11674,0.11674,0.024249,0.019111,0.0086826,0.0057336,0.55917,0.91826,0.35104,0.2674,0.56656,0.33133,0.018578,0.99892,0.016293,0.99993,1.1402,6.2616,1.6029,0.82567,0.74407,0.75872,TMP_SW_SOURCE_HR5_CDOM,TMP,SW,HR5,SOURCE
0.5582,0.54371,0.54371,0.1365,0.10451,0.041973,0.025693,1.9401,2.9157,0.47757,0.29961,1.6304,1.461,0.013998,0.9989,0.018661,0.99981,0.75013,5.341,1.5317,0.90834,0.55435,0.5598,TMP_C_POOL_T4_CODM,TMP,C,T4,POOL
0.12195,0.11752,0.11752,0.021152,0.015739,0.0056344,0.0033295,0.73768,1.0593,0.43031,0.34718,0.6053,0.4922,0.017262,0.99667,0.0207,0.99976,0.83392,7.7483,1.8218,0.68376,0.90665,0.92295,TMP_SW_POOL_T3_CDOM,TMP,SW,T3,POOL
0.12856,0.12501,0.12501,0.03207,0.025744,0.012302,0.0088635,0.57589,0.79208,0.40444,0.46676,0.50833,0.37169,0.013895,0.99753,0.015324,0.99937,0.90675,4.994,1.7364,0.67546,0.94127,0.97402,TMP_SW_POOL_T4_CDOM,TMP,SW,T4,POOL
0.33191,0.32243,0.32243,0.078706,0.06039,0.024571,0.015198,1.3168,2.1727,0.35492,0.18415,1.1485,0.98267,0.014025,0.9988,0.018357,0.99983,0.76401,5.4962,1.52,0.92205,0.57185,0.5802,TMP_SW_POOL_T4_CDOM,TMP,SW,T4,POOL
0.50279,0.48918,0.48918,0.11653,0.088297,0.034234,0.0207,1.8358,2.8459,0.46547,0.23941,1.5664,1.3827,0.014568,0.99876,0.01944,0.99979,0.74939,5.6943,1.5611,0.92982,0.56044,0.57154,TMP_C_POOL_20220613_CDOM,TMP,C,20220613,POOL
0.0036435,0.0033483,0.0033483,5.5251e-4,4.6987e-4,4.5777e-4,4.6736e-4,0.0038624,0.011556,0.0024972,0.0089098,0.0060041,9.6994e-4,0.003578,0.53977,0.0010382,0.17667,3.4465,7.7541,1.3728,0.54397,0.4612,0.4612,TMP_FW_SOURCE_HR2_CDOM,TMP,FW,HR2,SOURCE
0.0025071,0.0023959,0.0023959,1.5606e-4,5.3183e-5,1.067e-4,1.4617e-4,0.0038761,0.01214,0.0025709,0.0091823,0.0057679,0.0012791,-0.0028942,0.31594,-0.0038013,0.043539,0.76136,47.1404,1.614,0.38386,0.74639,0.96515,TMP_FW_SOURCE_HR0_CDOM,TMP,FW,HR0,SOURCE
0.069664,0.067522,0.067522,0.01731,0.013776,0.0060999,0.0040568,0.21624,0.37111,0.089735,0.12578,0.1918,0.15666,0.013939,0.99614,0.016634,0.99915,0.83797,5.057,1.6293,0.85695,0.72049,0.72276,TMP_FW_WELL_T3_CDOM,TMP,FW,T3,WELL
0.13078,0.12764,0.12764,0.026227,0.020554,0.0093932,0.0062656,0.59502,0.98072,0.37529,0.30324,0.60802,0.34636,0.018647,0.99909,0.016434,0.99995,1.1347,6.3628,1.6059,0.81305,0.7406,0.75626,TMP_ESTUARY_BARGE_HR4_CDOM,TMP,ESTUARY,HR4,BARGE
0.63137,0.61442,0.61442,0.15437,0.11821,0.047847,0.029488,1.9341,3.2013,0.46971,0.32744,1.5978,1.5201,0.013598,0.99928,0.018536,0.99984,0.73363,5.3409,1.5038,0.93188,0.5324,0.5398,TMP_SW_POOL_20220613_CDOM,TMP,SW,20220613,POOL
0.59739,0.58087,0.58087,0.14263,0.10841,0.042298,0.025599,2.1534,3.2725,0.49782,0.27023,1.7824,1.5936,0.01447,0.99937,0.019337,0.99977,0.7483,5.5105,1.5622,0.92098,0.54161,0.55284,TMP_C_POOL_20220915,TMP,C,20220915,POOL
0.49235,0.47889,0.47889,0.11137,0.082922,0.02905,0.014444,1.8657,2.8964,0.45669,0.23989,1.56,1.4082,0.014784,0.99912,0.020818,0.99954,0.71014,5.9376,1.5825,0.92466,0.56378,0.57358,TMP_C_POOL_20220808,TMP,C,20220808,POOL
0.47148,0.45891,0.45891,0.11324,0.086477,0.034248,0.020419,1.6465,2.4878,0.4171,0.23519,1.3825,1.2498,0.014332,0.99907,0.018939,0.99976,0.75674,5.4521,1.5649,0.92379,0.5513,0.56815,TMP_C_POOL_20220718,TMP,C,20220718,POOL
0.49264,0.47916,0.47916,0.1121,0.08454,0.031768,0.018282,1.9048,2.9922,0.48849,0.29656,1.6277,1.4204,0.014885,0.99925,0.019947,0.99971,0.74625,5.8273,1.5691,0.92441,0.56748,0.57333,TMP_C_POOL_20220721,TMP,C,20220721,POOL
0.54459,0.52867,0.52867,0.13215,0.10232,0.043764,0.02784,2.0308,3.432,0.57046,0.33366,1.7867,1.5453,0.014113,0.99966,0.017547,0.99992,0.80432,5.3222,1.5116,0.92609,0.54536,0.55343,TMP_FW_POOL_ 20220915,TMP,FW,20220915,POOL
0.36907,0.35844,0.35844,0.083129,0.06222,0.022732,0.011479,1.5209,2.5432,0.42176,0.24504,1.3256,1.1547,0.014563,0.99917,0.020013,0.99969,0.72766,5.9317,1.5489,0.92385,0.57317,0.58796,TMP_FW_POOL_20220808,TMP,FW,20220808,POOL
0.32247,0.31326,0.31326,0.073998,0.055909,0.020993,0.011833,1.293,2.0715,0.33084,0.18368,1.1181,0.97616,0.014427,0.99898,0.019805,0.99968,0.72844,5.7678,1.5496,0.92274,0.56244,0.5716,TMP_FW_POOL_20220721,TMP,FW,20220721,POOL
0.36178,0.35021,0.35021,0.08126,0.061879,0.024601,0.014442,1.5447,2.6275,0.48046,0.34011,1.3746,1.1798,0.014977,0.99944,0.018907,0.99984,0.79213,5.8465,1.5197,0.898,0.56114,0.57389,TMP_FW_POOL_20220718,TMP,FW,20220718,POOL
2.578,2.5151,2.5151,0.74672,0.59253,0.27782,0.18682000000000001,5.0134,8.7307,1.1595,0.44782,4.0373,4.0942,0.012102,0.99941,0.015644,0.99996,0.77359,4.3508,1.4026,0.94636,0.48122,0.4976,TMP_SW_POOL_20220915,TMP,SW,20220915,POOL
1.4375,1.4006,1.4006,0.37644,0.28719,0.11473,0.062187,3.5132,6.1542,0.79447,0.43594,2.879,2.8252,0.012459,0.99927,0.018333,0.9998,0.67963,5.0054,1.446,0.9364,0.51606,0.53271,TMP_SW_POOL_20220808,TMP,SW,20220808,POOL
0.52296,0.50955,0.50955,0.14165,0.11168,0.051959,0.035011,1.7063,2.7166,0.62183,0.61658,1.3924,1.2986,0.012748,0.99925,0.015947,0.99998,0.79937,4.6826,1.6191,0.87812,0.71078,0.71842,TMP_SW_POOL_20220718,TMP,SW,20220718,POOL
2.5133,2.4575,2.4575,0.74319,0.59182,0.27518,0.18159,5.3026,9.4025,0.98878,0.48684,4.0923,4.4608,0.011893,0.99947,0.015659,0.99988,0.75953,4.2467,1.359,0.95526,0.45461,0.4726,TMP_SW_POOL_20220721,TMP,SW,20220721,POOL
