sample_name,date,doc_mg_l,tdn_mg_l,npoc_flag,tdn_flag,Event,Plot,Grid,Timepoint
TMP_C_F4_20220518,20220527,8.13,0.47,NA,NA,TMP,C,F4,20220518
TMP_C_H6_20220518,20220527,13.92,0.47,NA,NA,TMP,C,H6,20220518
TMP_C_D5_20220518,20220527,18.36,0.66,NA,NA,TMP,C,D5,20220518
TMP_FW_C3_20220518,20220527,7.01,0.33,NA,NA,TMP,FW,C3,20220518
TMP_FW_H6_20220520,20220527,9.03,0.45,NA,NA,TMP,FW,H6,20220520
TMP_FW_E3_20220518,20220527,13.84,0.6,NA,NA,TMP,FW,E3,20220518
TMP_SW_20220523_POOL,20220601,13.01,0.51,pooled sample,pooled sample,TMP,SW,POOL,20220523
TMP_FW_20220523_POOL,20220601,9.16,0.5,pooled sample,pooled sample,TMP,FW,POOL,20220523
TMP_C_20220523_POOL,20220601,12.65,0.64,pooled sample,pooled sample,TMP,C,POOL,20220523
TMP_FW_PW_I5_15cm_20220613,20220627,12.73,0.78,NA,NA,TMP,FW,I5,20220613
TMP_SW_PW_E3_15cm_20220613,20220627,9.96,1,NA,NA,TMP,SW,E3,20220613
TMP_FW_PW_F4_15cm_20220613,20220627,10.91,0.05,NA,high blank,TMP,FW,F4,20220613
TMP_C_PW_B4_15cm_20220613,20220627,10.19,0.53,NA,NA,TMP,C,B4,20220613
TMP_SW_PW_I5_15cm_20220613,20220627,14.77,1.28,NA,NA,TMP,SW,I5,20220613
TMP_SW_PW_B4_15cm_20220613,20220627,20.02,0.6,NA,NA,TMP,SW,B4,20220613
TMP_C_PW_C6_15cm_20220613,20220627,8.83,0.44,NA,NA,TMP,C,C6,20220613
TMP_SW_PW_C3_15cm_20220613,20220627,23.65,0.99,NA,NA,TMP,SW,C3,20220613
TMP_FW_PW_C3_15cm_20220613,20220627,10.55,0.52,NA,NA,TMP,FW,C3,20220613
TMP_C_PW_I5_15cm_20220613,20220627,19.15,0.84,NA,NA,TMP,C,I5,20220613
TMP_SW_PW_D5_15cm_20220613,20220627,11.32,0.58,NA,NA,TMP,SW,D5,20220613
TMP_FW_PW_H6_15cm_20220613,20220627,13.55,0.66,NA,NA,TMP,FW,H6,20220613
TMP_FW_PW_D5_15cm_20220613,20220627,9.54,0.4,NA,NA,TMP,FW,D5,20220613
TMP_FW_PW_C6_15cm_20220615,20220627,8.43,0.4,NA,NA,TMP,FW,C6,20220615
TMP_C_PW_E3_15cm_20220615,20220627,10.3,0.45,NA,NA,TMP,C,E3,20220615
TMP_SW_PW_H3_15cm_20220615,20220627,20.06,0.06,NA,high blank,TMP,SW,H3,20220615
TMP_C_PW_H6_15cm_20220615,20220629,17.41,0.66,NA,NA,TMP,C,H6,20220615
TMP_C_SW_F6_15cm_20220615,20220629,13.77,0.57,NA,NA,TMP,C,F6,20220615
TMP_FW_PW_H3_15cm_20220615,20220629,5.06,0.28,NA,high blank,TMP,FW,H3,20220615
TMP_C_PW_H3_15cm_20220615,20220629,21.45,0.59,NA,NA,TMP,C,H3,20220615
TMP_SW_PW_C6_15cm_20220615,20220629,21.12,0.97,NA,NA,TMP,SW,C6,20220615
TMP_FW_H6_T0,20220629,14.41,0.54,NA,high blank,TMP,FW,H6,T0
TMP_FW_C6_T0,20220629,8.27,0.36,NA,high blank,TMP,FW,C6,T0
TMP_FW_I5_T0,20220629,15.67,0.7,NA,NA,TMP,FW,I5,T0
TMP_C_POOLED_T0,20220629,15.94,0.66,pooled sample,pooled sample,TMP,C,POOL,T0
TMP_FW_SOURCE_HR0,20220622,0.83,0.09,NA,high blank,TMP,FW,SOURCE,HR0
TMP_FW_SOURCE_HR5,20220622,0.75,0.07,high blank,high blank,TMP,FW,SOURCE,HR5
TMP_FW_SOURCE_HR7,20220622,0.59,0.06,high blank,high blank,TMP,FW,SOURCE,HR7
TMP_SW_C3_T1,20220629,15.5,0.93,NA,NA,TMP,SW,C3,T1
TMP_SW_WELL_T1,20220629,4.51,0.68,NA,NA,TMP,SW,WELL,T1
TMP_SW_H6_T1,20220629,7.25,0.37,NA,high blank,TMP,SW,H6,T1
TMP_SW_B4_T1,20220629,11.37,0.48,NA,high blank,TMP,SW,B4,T1
TMP_FW_F4_T1,20220701,10.45,0.49,NA,NA,TMP,FW,F4,T1
TMP_SW_E3_T1,20220701,4.9,0.44,NA,NA,TMP,SW,E3,T1
TMP_FW_I5_T1,20220701,26.89,0.42,NA,NA,TMP,FW,I5,T1
TMP_FW_C6_T1,20220701,1.27,0.08,high blank,high blank,TMP,FW,C6,T1
TMP_FW_C3_T1,20220701,5.54,0.18,NA,high blank,TMP,FW,C3,T1
TMP_FW_H3_T1,20220701,5.62,0.24,NA,high blank,TMP,FW,H3,T1
TMP_FW_D5_T1,20220701,4.67,0.16,NA,high blank,TMP,FW,D5,T1
TMP_SW_WELL_T2,20220701,4.05,0.28,NA,high blank,TMP,SW,WELL,T2
TMP_FW_H3_T2,20220701,4.86,0.21,NA,high blank,TMP,FW,H3,T2
TMP_FW_F6_T2,20220701,7.4,0.26,NA,high blank,TMP,FW,F6,T2
TMP_FW_F4_T2,20220701,8.13,0.27,NA,high blank,TMP,FW,F4,T2
TMP_FW_E3_T2,20220701,6.74,0.23,NA,high blank,TMP,FW,E3,T2
TMP_FW_H6_T2,20220701,2.81,0.08,high blank,high blank,TMP,FW,H6,T2
TMP_FW_C3_T2,20220701,9.72,0.25,NA,high blank,TMP,FW,C3,T2
TMP_FW_I5_T2,20220701,18.61,0.3,NA,high blank,TMP,FW,I5,T2
TMP_SW_B4_T2,20220701,7.3,0.47,NA,NA,TMP,SW,B4,T2
TMP_SW_I5_T2,20220701,11.85,1.25,NA,NA,TMP,SW,I5,T2
TMP_SW_D5_T2,20220701,4.66,0.4,NA,NA,TMP,SW,D5,T2
TMP_SW_F6_T2,20220701,5.09,0.36,NA,NA,TMP,SW,F6,T2
TMP_SW_F4_T2,20220701,10.66,0.53,NA,NA,TMP,SW,F4,T2
TMP_SW_H3_T2,20220701,6.53,0.57,NA,NA,TMP,SW,H3,T2
TMP_SW_E3_T2,20220701,2.78,0.17,high blank,high blank,TMP,SW,E3,T2
TMP_SW_C3_T2,20220701,8.48,0.5,NA,NA,TMP,SW,C3,T2
TMP_C_C6_T3,20220701,24.39,0.72,NA,NA,TMP,C,C6,T3
TMP_FW_POOL_T3,20220701,13.54,0.35,pooled sample,pooled sample,TMP,FW,POOL,T3
TMP_FW_H3_T3,20220701,10.23,0.3,NA,high blank,TMP,FW,H3,T3
TMP_FW_F4_T3,20220701,9.6,0.32,NA,high blank,TMP,FW,F4,T3
TMP_FW_SOURCE_HR3,20220622,8.73,0.12,NA,high blank,TMP,FW,SOURCE,HR3
TMP_ESTUARY_BARGE_HR4,20220622,27.27,0.88,NA,NA,TMP,ESTUARY,BARGE,HR4
TMP_SW_SOURCE_HR0,20220622,20.35,0.5,NA,NA,TMP,SW,SOURCE,HR0
TMP_FW_SOURCE_HR1,20220622,9.12,0.15,NA,high blank,TMP,FW,SOURCE,HR1
TMP_SW_SOURCE_HR1,20220622,20.05,0.38,NA,NA,TMP,SW,SOURCE,HR1
TMP_SW_SOURCE_HR2,20220622,20.55,0.4,NA,NA,TMP,SW,SOURCE,HR2
TMP_SW_SOURCE_HR4,20220622,5.13,0.34,NA,NA,TMP,SW,SOURCE,HR4
TMP_C_H6_T3,20220708,20.74,0.62,NA,NA,TMP,C,H6,T3
TMP_C_I5_T3,20220708,22.93,0.67,NA,NA,TMP,C,I5,T3
TMP_SW_WELL_T3,20220708,4,0.28,NA,high blank,TMP,SW,WELL,T3
TMP_SW_B4_T3,20220708,9.22,0.52,NA,NA,TMP,SW,B4,T3
TMP_FW_WELL_T3,20220708,2.83,0.13,NA,high blank,TMP,FW,WELL,T3
TMP_FW_H6_T3,20220708,10.03,0.35,NA,NA,TMP,FW,H6,T3
TMP_SW_C3_T3,20220708,13.23,1.19,NA,NA,TMP,SW,C3,T3
TMP_C_B4_T3,20220708,11.82,0.37,NA,NA,TMP,C,B4,T3
TMP_FW_C6_T3,20220708,8.39,0.34,NA,NA,TMP,FW,C6,T3
TMP_FW_C3_T3,20220708,13.79,0.43,NA,NA,TMP,FW,C3,T3
TMP_FW_E3_T3,20220708,7.32,0.27,NA,high blank,TMP,FW,E3,T3
TMP_FW_B4_T3,20220708,7.87,0.33,NA,NA,TMP,FW,B4,T3
TMP_SW_H6_T3,20220708,7.4,0.39,NA,NA,TMP,SW,H6,T3
TMP_SW_POOL_T3,20220708,9.17,0.84,pooled sample,pooled sample,TMP,SW,POOL,T3
TMP_FW_I5_T4,20220708,14.52,0.54,NA,NA,TMP,FW,I5,T4
TMP_SW_E3_T3,20220708,6.41,0.41,NA,NA,TMP,SW,E3,T3
TMP_FW_POOL_T4,20220708,11.12,0.46,pooled sample,pooled sample,TMP,FW,POOL,T4
TMP_C_I5_T4,20220708,26.29,1.45,NA,NA,TMP,C,I5,T4
TMP_C_POOL_T4,20220708,20.64,0.85,pooled sample,pooled sample,TMP,C,POOL,T4
TMP_SW_POOL_T4,20220708,9.76,0.74,pooled sample,pooled sample,TMP,SW,POOL,T4
TMP_SW_D5_T3,20220708,8.04,0.82,NA,NA,TMP,SW,D5,T3
TMP_SW_F6_T3,20220708,5.3,0.52,NA,NA,TMP,SW,F6,T3
TMP_C_D5_T4,20220708,19.76,0.56,NA,NA,TMP,C,D5,T4
TMP_FW_H3_T4,20220708,9.86,0.37,NA,NA,TMP,FW,H3,T4
TMP_SW_B4_T4,20220708,8.94,0.52,NA,NA,TMP,SW,B4,T4
TMP_SW_F4_T4,20220708,14.84,0.64,NA,NA,TMP,SW,F4,T4
TMP_SW_I5_T3,20220708,15.07,1.9,NA,NA,TMP,SW,I5,T3
TMP_C_E3_T4,20220708,11.68,0.72,NA,NA,TMP,C,E3,T4
TMP_FW_C3_T4,20220708,18.09,1,NA,NA,TMP,FW,C3,T4
TMP_SW_E3_T4,20220708,7.79,0.46,NA,NA,TMP,SW,E3,T4
TMP_SW_D5_T4,20220708,11.09,0.78,NA,NA,TMP,SW,D5,T4
TMP_SW_H6_T4,20220708,10.3,0.71,NA,NA,TMP,SW,H6,T4
TMP_FW_F4_T4,20220708,11.22,0.49,NA,NA,TMP,FW,F4,T4
TMP_FW_F6_T4,20220708,13.74,0.56,NA,NA,TMP,FW,F6,T4
TMP_SW_H3_T4,20220708,5.83,0.49,NA,NA,TMP,SW,H3,T4
TMP_FW_C6_T4,20220708,7.03,0.31,NA,NA,TMP,FW,C6,T4
TMP_SW_I5_T4,20220708,15.9,1.5,NA,NA,TMP,SW,I5,T4
TMP_FW_H6_T4,20220708,10.37,0.42,NA,NA,TMP,FW,H6,T4
TMP_C_F6_T4,20220708,19.97,0.75,NA,NA,TMP,C,F6,T4
TMP_FW_D5_T4,20220708,8.09,0.28,NA,high blank,TMP,FW,D5,T4
TMP_C_H6_T4,20220708,21.31,0.77,NA,NA,TMP,C,H6,T4
TMP_SW_C6_T4,20220708,10.46,0.84,NA,NA,TMP,SW,C6,T4
TMP_FW_B4_T4,20220711,9.79,0.36,NA,NA,TMP,FW,B4,T4
TMP_C_H3_T4,20220711,22.94,0.82,NA,NA,TMP,C,H3,T4
TMP_FW_E3_T4,20220711,10.51,0.36,NA,NA,TMP,FW,E3,T4
TMP_SW_C3_T4,20220711,14.34,1.36,NA,NA,TMP,SW,C3,T4
TMP_SW_F6_T4,20220711,5.81,0.39,NA,NA,TMP,SW,F6,T4
TMP_C_C6_20220718,20220729,12.69,1.44,NA,NA,TMP,C,C6,20220718
TMP_C_H3_20220718,20220729,20.08,0.51,NA,NA,TMP,C,H3,20220718
TMP_C_H6_20220721,20220729,16.28,1.15,NA,NA,TMP,C,H6,20220721
TMP_C_B4_20220718,20220729,7.55,0.23,NA,NA,TMP,C,B4,20220718
TMP_C_D5_20220721,20220729,8.83,0.46,NA,NA,TMP,C,D5,20220721
TMP_C_F6_20220721,20220729,16.45,0.81,NA,NA,TMP,C,F6,20220721
TMP_C_I5_20220718,20220729,18.21,0.74,NA,NA,TMP,C,I5,20220718
TMP_FW_C6_20220718,20220729,7.21,0.23,NA,NA,TMP,FW,C6,20220718
TMP_FW_H6_20220718,20220729,11.01,0.46,NA,NA,TMP,FW,H6,20220718
TMP_FW_B4_20220718,20220729,11.88,1.07,NA,NA,TMP,FW,B4,20220718
TMP_FW_D5_20220718,20220729,12.17,1.27,NA,NA,TMP,FW,D5,20220718
TMP_FW_E3_20220718,20220729,9.61,0.79,NA,NA,TMP,FW,E3,20220718
TMP_FW_I5_20220718,20220729,14.7,0.57,NA,NA,TMP,FW,I5,20220718
TMP_SW_C3_20220718,20220729,9.15,0.47,NA,NA,TMP,SW,C3,20220718
TMP_SW_C6_20220718,20220729,19.29,5.07,NA,value above cal curve,TMP,SW,C6,20220718
TMP_SW_F4_20220718,20220729,7.66,0.62,NA,NA,TMP,SW,F4,20220718
TMP_SW_B4_20220718,20220729,21.99,0.7,NA,NA,TMP,SW,B4,20220718
TMP_SW_D5_20220718,20220729,6.11,0.44,NA,NA,TMP,SW,D5,20220718
TMP_SW_F6_20220718,20220729,4.94,0.41,NA,NA,TMP,SW,F6,20220718
TMP_SW_I5_20220718,20220729,15.02,1.07,NA,NA,TMP,SW,I5,20220718
TMP_C_H3_20220808,20220819,20.09,0.61,NA,NA,TMP,C,H3,20220808
TMP_C_H6_20220808,20220819,15.89,0.58,NA,NA,TMP,C,H6,20220808
TMP_C_B4_20220808,20220819,10.61,0.45,NA,NA,TMP,C,B4,20220808
TMP_C_D5_20220808,20220819,11.37,0.41,NA,NA,TMP,C,D5,20220808
TMP_C_E3_20220808,20220819,12.71,0.93,NA,NA,TMP,C,E3,20220808
TMP_C_F6_20220808,20220819,15.7,0.5,NA,NA,TMP,C,F6,20220808
TMP_C_I5_20220808,20220819,23.39,0.71,NA,NA,TMP,C,I5,20220808
TMP_C_C3_20220808,20220819,16.66,0.49,NA,NA,TMP,C,C3,20220808
TMP_C_C6_20220808,20220819,13.45,1.73,NA,NA,TMP,C,C6,20220808
TMP_C_F4_20220808,20220819,14.43,0.59,NA,NA,TMP,C,F4,20220808
TMP_FW_C3_20220808,20220819,14.84,0.53,NA,NA,TMP,FW,C3,20220808
TMP_FW_C6_20220808,20220819,9.31,0.41,NA,NA,TMP,FW,C6,20220808
TMP_FW_F4_20220808,20220819,14.67,0.73,NA,NA,TMP,FW,F4,20220808
TMP_FW_H3_20220808,20220819,11.59,0.46,NA,NA,TMP,FW,H3,20220808
TMP_FW_H6_20220808,20220819,14.9,1.9,NA,NA,TMP,FW,H6,20220808
TMP_FW_B4_20220808,20220819,12.08,0.49,NA,NA,TMP,FW,B4,20220808
TMP_FW_D5_20220808,20220819,18.81,0.75,NA,NA,TMP,FW,D5,20220808
TMP_FW_E3_20220808,20220819,10.3,0.54,NA,NA,TMP,FW,E3,20220808
TMP_FW_I5_20220808,20220819,16.38,0.6,NA,NA,TMP,FW,I5,20220808
TMP_C_POOLED_20220808,20220819,15.2,0.67,pooled sample,pooled sample,TMP,C,POOL,20220808
TMP_SW_F4_20220808,20220819,33.7,1.19,NA,NA,TMP,SW,F4,20220808
TMP_SW_H6_20220808,20220819,38.01,1.29,NA,NA,TMP,SW,H6,20220808
TMP_SW_B4_20220808,20220819,84.9,1.95,NA,NA,TMP,SW,B4,20220808
TMP_SW_D5_20220808,20220819,24.83,1.11,NA,NA,TMP,SW,D5,20220808
TMP_SW_F6_20220808,20220819,12.87,0.66,NA,NA,TMP,SW,F6,20220808
TMP_SW_I5_20220808,20220819,20.27,0.82,NA,NA,TMP,SW,I5,20220808
TMP_SW_C3_20220808,20220819,16.19,0.6,NA,NA,TMP,SW,C3,20220808
TMP_SW_POOLED_20220808,20220819,29.48,1,pooled sample,pooled sample,TMP,SW,POOL,20220808
TMP_FW_POOLED_20220808,20220819,11.74,0.68,pooled sample,pooled sample,TMP,FW,POOL,20220808
TMP_SW_E3_20220808,20220819,18.85,0.73,NA,NA,TMP,SW,E3,20220808
TMP_C_D5_20220915,20220922,11.13,0.6,NA,NA,TMP,C,D5,20220915
TMP_C_H6_20220912,20220922,25,0.84,NA,NA,TMP,C,H6,20220912
TMP_C_H3_20220915,20220922,23.46,3.27,NA,value above cal curve,TMP,C,H3,20220915
TMP_C_C6_20220912,20220922,17.31,0.59,NA,NA,TMP,C,C6,20220912
TMP_C_I5_20220915,20220922,15.9,0.49,NA,NA,TMP,C,I5,20220915
TMP_C_E3_20220912,20220922,11.21,0.52,NA,NA,TMP,C,E3,20220912
TMP_C_POOLED_20220912_20220915,20220922,18.37,1.16,pooled sample,pooled sample,TMP,C,POOL,20220912
TMP_FW_I5_20220915,20220922,22.43,0.8,NA,NA,TMP,FW,I5,20220915
TMP_FW_E3_20220915,20220922,8.16,0.4,NA,NA,TMP,FW,E3,20220915
TMP_FW_H6_20220912,20220922,20.45,0.79,NA,NA,TMP,FW,H6,20220912
TMP_FW_C3_20220915,20220922,21.35,0.72,NA,NA,TMP,FW,C3,20220915
TMP_FW_C6_20220915,20220922,8.6,0.37,NA,NA,TMP,FW,C6,20220915
TMP_FW_F6_20220915,20220922,16.19,0.76,NA,NA,TMP,FW,F6,20220915
TMP_FW_B4_20220915,20220922,16.62,2.87,NA,NA,TMP,FW,B4,20220915
TMP_FW_F4_20220915,20220922,13.3,0.75,NA,NA,TMP,FW,F4,20220915
TMP_FW_I5_20220912,20220922,23.83,1.16,NA,NA,TMP,FW,I5,20220912
TMP_FW_D5_20220915,20220922,17.36,0.57,NA,NA,TMP,FW,D5,20220915
TMP_FW_POOLED_20220912_20220915,20220922,17.39,1.07,pooled sample,pooled sample,TMP,FW,POOL,20220912
TMP_SW_H3_20220915,20220922,86.81,2.78,NA,NA,TMP,SW,H3,20220915
TMP_SW_B4_20220912,20220922,75.62,1.8,NA,NA,TMP,SW,B4,20220912
TMP_SW_C3_20220915,20220922,21.94,3.06,NA,value above cal curve,TMP,SW,C3,20220915
TMP_SW_C6_20220915,20220922,54.58,1.84,NA,NA,TMP,SW,C6,20220915
TMP_SW_F6_20220912,20220922,13.25,0.61,NA,NA,TMP,SW,F6,20220912
TMP_SW_E3_20220915,20220922,26.22,0.97,NA,NA,TMP,SW,E3,20220915
TMP_SW_H6_20220915,20220922,45.66,1.45,NA,NA,TMP,SW,H6,20220915
TMP_SW_POOLED_20220912_20220915,20220922,54.12,2.84,pooled sample,pooled sample,TMP,SW,POOL,20220912
TMP_C_H3_20221019,20221025,19.4,0.59,NA,NA,TMP,C,H3,20221019
TMP_C_H6_20221019,20221025,15.72,0.5,NA,NA,TMP,C,H6,20221019
TMP_C_D5_20221019,20221025,6.9,0.24,NA,NA,TMP,C,D5,20221019
TMP_C_E3_20221019,20221025,10.2,0.31,NA,NA,TMP,C,E3,20221019
TMP_C_F6_20221019,20221025,12.13,0.38,NA,NA,TMP,C,F6,20221019
TMP_C_I5_20221019,20221025,14.79,0.39,NA,NA,TMP,C,I5,20221019
TMP_C_C6_20221019,20221025,11.49,0.38,NA,NA,TMP,C,C6,20221019
TMP_FW_C3_20221019,20221025,12.5,0.38,NA,NA,TMP,FW,C3,20221019
TMP_FW_C6_20221019,20221025,11.44,0.32,NA,NA,TMP,FW,C6,20221019
TMP_FW_H3_20221019,20221025,11.76,0.5,NA,NA,TMP,FW,H3,20221019
TMP_FW_H6_20221019,20221025,15.04,0.56,NA,NA,TMP,FW,H6,20221019
TMP_FW_B4_20221019,20221025,13.23,0.38,NA,NA,TMP,FW,B4,20221019
TMP_FW_D5_20221019,20221025,15.08,0.48,NA,NA,TMP,FW,D5,20221019
TMP_FW_E3_20221019,20221025,10.08,0.35,NA,NA,TMP,FW,E3,20221019
TMP_FW_I5_20221019,20221025,21.68,0.86,NA,NA,TMP,FW,I5,20221019
TMP_SW_C3_20221019,20221025,14.76,0.51,NA,NA,TMP,SW,C3,20221019
TMP_SW_C6_20221019,20221025,45.83,2,NA,NA,TMP,SW,C6,20221019
TMP_SW_H3_20221019,20221025,109.2,4.39,value above cal curve,value above cal curve,TMP,SW,H3,20221019
TMP_SW_H6_20221019,20221025,27.6,0.89,NA,NA,TMP,SW,H6,20221019
TMP_SW_B4_20221019,20221025,52.57,1.33,NA,NA,TMP,SW,B4,20221019
TMP_SW_D5_20221019,20221025,37.03,1.04,NA,NA,TMP,SW,D5,20221019
TMP_SW_F6_20221019,20221025,44.55,1.46,NA,NA,TMP,SW,F6,20221019
TMP_C_POOLED_20221019-20221024,20221025,15.84,0.51,pooled sample,pooled sample,TMP,C,POOL,20221019
TMP_FW_POOLED_20221019-20221024,20221025,14.93,0.94,pooled sample,pooled sample,TMP,FW,POOL,20221019
TMP_SW_POOLED_20221019,20221025,41.95,1.44,pooled sample,pooled sample,TMP,SW,POOL,20221019
TMP_FW_C6_20221201,20221209,9.79,0.81,NA,NA,TMP,FW,C6,20221201
TMP_FW_C3_20221128,20221209,15.94,0.52,NA,NA,TMP,FW,C3,20221128
TMP_FW_D5_20221128,20221209,15.13,0.43,NA,NA,TMP,FW,D5,20221128
TMP_FW_H3_20221128,20221209,9.01,0.34,NA,NA,TMP,FW,H3,20221128
TMP_FW_I5_20221128,20221209,15.15,0.58,NA,NA,TMP,FW,I5,20221128
TMP_FW_E3_20221128,20221209,10.03,0.48,NA,NA,TMP,FW,E3,20221128
TMP_FW_B4_20221128,20221209,12.31,0.6,NA,NA,TMP,FW,B4,20221128
TMP_FW_H6_20221128,20221209,16.53,0.62,NA,NA,TMP,FW,H6,20221128
TMP_C_E3_20221128,20221209,8.79,0.32,NA,NA,TMP,C,E3,20221128
TMP_C_H6_20221128,20221209,15.01,0.46,NA,NA,TMP,C,H6,20221128
TMP_C_I5_20221128,20221209,15.72,0.47,NA,NA,TMP,C,I5,20221128
TMP_C_B4_20221128,20221209,7.48,0.24,NA,high blank,TMP,C,B4,20221128
TMP_C_F6_20221128,20221209,14.55,0.42,NA,NA,TMP,C,F6,20221128
TMP_C_C6_20221128,20221209,8.28,0.28,NA,high blank,TMP,C,C6,20221128
TMP_C_C3_20221201,20221209,16.1,0.46,NA,NA,TMP,C,C3,20221201
TMP_C_D5_20221128,20221209,7.13,0.32,NA,NA,TMP,C,D5,20221128
TMP_C_H3_20221128,20221209,19.2,0.81,NA,NA,TMP,C,H3,20221128
TMP_C_POOL_20221128_20221201,20221209,14.49,0.53,pooled sample,pooled sample,TMP,C,POOL,20221128
TMP_FW_POOL_20221128_20221201,20221209,14.01,0.48,pooled sample,pooled sample,TMP,FW,POOL,20221128
TMP_SW_POOL_20221128_20221201,20221209,43.13,1.25,pooled sample,pooled sample,TMP,SW,POOL,20221128
TMP_SW_C6_20221201,20221209,44.24,3.32,NA,value above cal curve,TMP,SW,C6,20221201
TMP_SW_E3_20221201,20221209,37.11,1.15,NA,NA,TMP,SW,E3,20221201
TMP_SW_B4_20221128,20221209,65.26,1.49,NA,NA,TMP,SW,B4,20221128
TMP_SW_H6_20221128,20221209,28.31,0.91,NA,NA,TMP,SW,H6,20221128
TMP_SW_C3_20221128,20221209,23.28,0.94,NA,NA,TMP,SW,C3,20221128
TMP_SW_D5_20221128,20221209,43.48,1.24,NA,NA,TMP,SW,D5,20221128
TMP_SW_H3_20221128,20221209,35.85,1.08,NA,NA,TMP,SW,H3,20221128
TMP_SW_F6_20221128,20221209,42.99,1.39,NA,NA,TMP,SW,F6,20221128
TMP_C_C6_20230202,20230209,8.27,0.27,NA,NA,TMP,C,C6,20230202
TMP_C_H3_20230206,20230209,14.7,0.42,NA,NA,TMP,C,H3,20230206
TMP_C_H6_20230202,20230209,11.4,0.39,NA,NA,TMP,C,H6,20230202
TMP_C_D5_20230202,20230209,7.77,0.29,NA,NA,TMP,C,D5,20230202
TMP_C_E3_20230202,20230209,8.63,0.3,NA,NA,TMP,C,E3,20230202
TMP_C_F6_20230202,20230209,14.28,0.47,NA,NA,TMP,C,F6,20230202
TMP_C_I5_20230202,20230209,14.91,0.41,NA,NA,TMP,C,I5,20230202
TMP_C_POOL_20230202,20230209,12.26,0.42,pooled sample,pooled sample,TMP,C,POOL,20230202
TMP_FW_C3_20230202,20230209,12.3,0.48,NA,NA,TMP,FW,C3,20230202
TMP_FW_C6_20230202,20230209,7.2,0.39,NA,NA,TMP,FW,C6,20230202
TMP_FW_H3_20230202,20230209,8.89,0.34,NA,NA,TMP,FW,H3,20230202
TMP_FW_H6_20230202,20230209,11.86,1.71,NA,NA,TMP,FW,H6,20230202
TMP_FW_B4_20230202,20230209,11.29,0.49,NA,NA,TMP,FW,B4,20230202
TMP_FW_D5_20230202,20230209,10.41,0.35,NA,NA,TMP,FW,D5,20230202
TMP_FW_E3_20230206,20230209,10.96,1.31,NA,NA,TMP,FW,E3,20230206
TMP_FW_F6_20230202,20230209,13.77,0.64,NA,NA,TMP,FW,F6,20230202
TMP_FW_I5_20230202,20230209,13.09,0.58,NA,NA,TMP,FW,I5,20230202
TMP_FW_POOL_20230202,20230209,10.75,0.71,pooled sample,pooled sample,TMP,FW,POOL,20230202
TMP_SW_C3_20230202,20230209,45.24,1.47,NA,NA,TMP,SW,C3,20230202
TMP_SW_C6_20230202,20230209,39.86,1.82,NA,NA,TMP,SW,C6,20230202
