sample_name,rundate,doc_mg_l,tdn_mg_l,npoc_flag,tdn_flag,Event,Plot,Grid,Timepoint,Pool_Timepoint,date,time,datetime,plot,Group
TMP_C_F4_20220518,20220527,8.13,0.47,NA,NA,TMP,C,F4,NA,NA,2022-05-18,11:59:00,2022-05-18T18:59:00Z,Control,2022-05-01
TMP_C_H6_20220518,20220527,13.92,0.47,NA,NA,TMP,C,H6,NA,NA,2022-05-18,11:59:00,2022-05-18T18:59:00Z,Control,2022-05-01
TMP_C_D5_20220518,20220527,18.36,0.66,NA,NA,TMP,C,D5,NA,NA,2022-05-18,11:59:00,2022-05-18T18:59:00Z,Control,2022-05-01
TMP_FW_C3_20220518,20220527,7.01,0.33,NA,NA,TMP,FW,C3,NA,NA,2022-05-18,11:59:00,2022-05-18T18:59:00Z,Freshwater,2022-05-01
TMP_FW_H6_20220520,20220527,9.03,0.45,NA,NA,TMP,FW,H6,NA,NA,2022-05-20,11:59:00,2022-05-20T18:59:00Z,Freshwater,2022-05-01
TMP_FW_E3_20220518,20220527,13.84,0.6,NA,NA,TMP,FW,E3,NA,NA,2022-05-18,11:59:00,2022-05-18T18:59:00Z,Freshwater,2022-05-01
TMP_SW_20220523_POOL,20220601,13.01,0.51,pooled sample,pooled sample,TMP,SW,POOL,NA,NA,2022-05-23,11:59:00,2022-05-23T18:59:00Z,Estuarine-water,2022-05-01
TMP_FW_20220523_POOL,20220601,9.16,0.5,pooled sample,pooled sample,TMP,FW,POOL,NA,NA,2022-05-23,11:59:00,2022-05-23T18:59:00Z,Freshwater,2022-05-01
TMP_C_20220523_POOL,20220601,12.65,0.64,pooled sample,pooled sample,TMP,C,POOL,NA,NA,2022-05-23,11:59:00,2022-05-23T18:59:00Z,Control,2022-05-01
TMP_C_PW_H6_15cm_20220615,20220629,17.41,0.66,NA,NA,TMP,C,H6,T0,NA,2022-06-15,11:59:00,2022-06-15T18:59:00Z,Control,2022-06-15
TMP_C_SW_F6_15cm_20220615,20220629,13.77,0.57,NA,NA,TMP,C,F6,T0,NA,2022-06-15,11:59:00,2022-06-15T18:59:00Z,Control,2022-06-15
TMP_FW_PW_H3_15cm_20220615,20220629,5.06,0.28,NA,blank is ≥ 25% of sample value,TMP,FW,H3,T0,NA,2022-06-15,11:59:00,2022-06-15T18:59:00Z,Freshwater,2022-06-15
TMP_C_PW_H3_15cm_20220615,20220629,21.45,0.59,NA,NA,TMP,C,H3,T0,NA,2022-06-15,11:59:00,2022-06-15T18:59:00Z,Control,2022-06-15
TMP_SW_PW_C6_15cm_20220615,20220629,21.12,0.97,NA,NA,TMP,SW,C6,T0,NA,2022-06-15,11:59:00,2022-06-15T18:59:00Z,Estuarine-water,2022-06-15
TMP_FW_H6_T0,20220629,14.41,0.54,NA,NA,TMP,FW,H6,T0,NA,2022-06-20,10:15:00,2022-06-20T17:15:00Z,Freshwater,2022-06-20
TMP_FW_C6_T0,20220629,8.27,0.36,NA,blank is ≥ 25% of sample value,TMP,FW,C6,T0,NA,2022-06-20,10:15:00,2022-06-20T17:15:00Z,Freshwater,2022-06-20
TMP_FW_I5_T0,20220629,15.67,0.7,NA,NA,TMP,FW,I5,T0,NA,2022-06-20,10:15:00,2022-06-20T17:15:00Z,Freshwater,2022-06-20
TMP_C_POOL_T0,20220629,15.94,0.66,pooled sample,pooled sample,TMP,C,POOL,T0,NA,2022-06-20,09:36:00,2022-06-20T16:36:00Z,Control,2022-06-20
TMP_SW_C3_T1,20220629,15.5,0.93,NA,NA,TMP,SW,C3,T1,NA,2022-06-22,12:47:00,2022-06-22T19:47:00Z,Estuarine-water,2022-06-22
TMP_SW_H6_T1,20220629,7.25,0.37,NA,blank is ≥ 25% of sample value,TMP,SW,H6,T1,NA,2022-06-22,12:47:00,2022-06-22T19:47:00Z,Estuarine-water,2022-06-22
TMP_SW_B4_T1,20220629,11.37,0.48,NA,NA,TMP,SW,B4,T1,NA,2022-06-22,12:47:00,2022-06-22T19:47:00Z,Estuarine-water,2022-06-22
TMP_FW_F4_T1,20220701,10.45,0.49,NA,NA,TMP,FW,F4,T1,NA,2022-06-22,12:45:00,2022-06-22T19:45:00Z,Freshwater,2022-06-22
TMP_SW_E3_T1,20220701,4.9,0.44,NA,NA,TMP,SW,E3,T1,NA,2022-06-22,12:47:00,2022-06-22T19:47:00Z,Estuarine-water,2022-06-22
TMP_FW_I5_T1,20220701,26.89,0.42,NA,NA,TMP,FW,I5,T1,NA,2022-06-22,12:45:00,2022-06-22T19:45:00Z,Freshwater,2022-06-22
TMP_FW_C6_T1,20220701,1.27,0.08,blank is ≥ 25% of sample value,blank is ≥ 25% of sample value,TMP,FW,C6,T1,NA,2022-06-22,12:45:00,2022-06-22T19:45:00Z,Freshwater,2022-06-22
TMP_FW_C3_T1,20220701,5.54,0.18,NA,blank is ≥ 25% of sample value,TMP,FW,C3,T1,NA,2022-06-22,12:45:00,2022-06-22T19:45:00Z,Freshwater,2022-06-22
TMP_FW_H3_T1,20220701,5.62,0.24,NA,blank is ≥ 25% of sample value,TMP,FW,H3,T1,NA,2022-06-22,12:45:00,2022-06-22T19:45:00Z,Freshwater,2022-06-22
TMP_FW_D5_T1,20220701,4.67,0.16,NA,blank is ≥ 25% of sample value,TMP,FW,D5,T1,NA,2022-06-22,12:45:00,2022-06-22T19:45:00Z,Freshwater,2022-06-22
TMP_FW_H3_T2,20220701,4.86,0.21,NA,blank is ≥ 25% of sample value,TMP,FW,H3,T2,NA,2022-06-22,16:14:00,2022-06-22T23:14:00Z,Freshwater,2022-06-22
TMP_FW_F6_T2,20220701,7.4,0.26,NA,blank is ≥ 25% of sample value,TMP,FW,F6,T2,NA,2022-06-22,16:14:00,2022-06-22T23:14:00Z,Freshwater,2022-06-22
TMP_FW_F4_T2,20220701,8.13,0.27,NA,blank is ≥ 25% of sample value,TMP,FW,F4,T2,NA,2022-06-22,16:14:00,2022-06-22T23:14:00Z,Freshwater,2022-06-22
TMP_FW_E3_T2,20220701,6.74,0.23,NA,blank is ≥ 25% of sample value,TMP,FW,E3,T2,NA,2022-06-22,16:14:00,2022-06-22T23:14:00Z,Freshwater,2022-06-22
TMP_FW_H6_T2,20220701,2.81,0.08,NA,blank is ≥ 25% of sample value,TMP,FW,H6,T2,NA,2022-06-22,16:14:00,2022-06-22T23:14:00Z,Freshwater,2022-06-22
TMP_FW_C3_T2,20220701,9.72,0.25,NA,blank is ≥ 25% of sample value,TMP,FW,C3,T2,NA,2022-06-22,16:14:00,2022-06-22T23:14:00Z,Freshwater,2022-06-22
TMP_FW_I5_T2,20220701,18.61,0.3,NA,NA,TMP,FW,I5,T2,NA,2022-06-22,16:14:00,2022-06-22T23:14:00Z,Freshwater,2022-06-22
TMP_SW_B4_T2,20220701,7.3,0.47,NA,NA,TMP,SW,B4,T2,NA,2022-06-22,16:14:00,2022-06-22T23:14:00Z,Estuarine-water,2022-06-22
TMP_SW_I5_T2,20220701,11.85,1.25,NA,NA,TMP,SW,I5,T2,NA,2022-06-22,16:14:00,2022-06-22T23:14:00Z,Estuarine-water,2022-06-22
TMP_SW_D5_T2,20220701,4.66,0.4,NA,NA,TMP,SW,D5,T2,NA,2022-06-22,16:14:00,2022-06-22T23:14:00Z,Estuarine-water,2022-06-22
TMP_SW_F6_T2,20220701,5.09,0.36,NA,NA,TMP,SW,F6,T2,NA,2022-06-22,16:14:00,2022-06-22T23:14:00Z,Estuarine-water,2022-06-22
TMP_SW_F4_T2,20220701,10.66,0.53,NA,NA,TMP,SW,F4,T2,NA,2022-06-22,16:14:00,2022-06-22T23:14:00Z,Estuarine-water,2022-06-22
TMP_SW_H3_T2,20220701,6.53,0.57,NA,NA,TMP,SW,H3,T2,NA,2022-06-22,16:14:00,2022-06-22T23:14:00Z,Estuarine-water,2022-06-22
TMP_SW_E3_T2,20220701,2.78,0.17,NA,blank is ≥ 25% of sample value,TMP,SW,E3,T2,NA,2022-06-22,16:14:00,2022-06-22T23:14:00Z,Estuarine-water,2022-06-22
TMP_SW_C3_T2,20220701,8.48,0.5,NA,NA,TMP,SW,C3,T2,NA,2022-06-22,16:14:00,2022-06-22T23:14:00Z,Estuarine-water,2022-06-22
TMP_C_C6_T3,20220701,24.39,0.72,NA,NA,TMP,C,C6,T3,NA,2022-06-23,09:38:00,2022-06-23T16:38:00Z,Control,2022-06-23
TMP_FW_POOL_T3,20220701,13.54,0.35,pooled sample,pooled sample,TMP,FW,POOL,T3,NA,2022-06-23,09:38:00,2022-06-23T16:38:00Z,Freshwater,2022-06-23
TMP_FW_H3_T3,20220701,10.23,0.3,NA,NA,TMP,FW,H3,T3,NA,2022-06-23,09:38:00,2022-06-23T16:38:00Z,Freshwater,2022-06-23
TMP_FW_F4_T3,20220701,9.6,0.32,NA,NA,TMP,FW,F4,T3,NA,2022-06-23,09:38:00,2022-06-23T16:38:00Z,Freshwater,2022-06-23
TMP_C_H6_T3,20220708,20.74,0.62,NA,NA,TMP,C,H6,T3,NA,2022-06-23,09:38:00,2022-06-23T16:38:00Z,Control,2022-06-23
TMP_C_I5_T3,20220708,22.93,0.67,NA,NA,TMP,C,I5,T3,NA,2022-06-23,09:38:00,2022-06-23T16:38:00Z,Control,2022-06-23
TMP_SW_B4_T3,20220708,9.22,0.52,NA,NA,TMP,SW,B4,T3,NA,2022-06-23,09:41:00,2022-06-23T16:41:00Z,Estuarine-water,2022-06-23
TMP_FW_H6_T3,20220708,10.03,0.35,NA,NA,TMP,FW,H6,T3,NA,2022-06-23,09:38:00,2022-06-23T16:38:00Z,Freshwater,2022-06-23
TMP_SW_C3_T3,20220708,13.23,1.19,NA,NA,TMP,SW,C3,T3,NA,2022-06-23,09:41:00,2022-06-23T16:41:00Z,Estuarine-water,2022-06-23
TMP_C_B4_T3,20220708,11.82,0.37,NA,NA,TMP,C,B4,T3,NA,2022-06-23,09:38:00,2022-06-23T16:38:00Z,Control,2022-06-23
TMP_FW_C6_T3,20220708,8.39,0.34,NA,NA,TMP,FW,C6,T3,NA,2022-06-23,09:38:00,2022-06-23T16:38:00Z,Freshwater,2022-06-23
TMP_FW_C3_T3,20220708,13.79,0.43,NA,NA,TMP,FW,C3,T3,NA,2022-06-23,09:38:00,2022-06-23T16:38:00Z,Freshwater,2022-06-23
TMP_FW_E3_T3,20220708,7.32,0.27,NA,NA,TMP,FW,E3,T3,NA,2022-06-23,09:38:00,2022-06-23T16:38:00Z,Freshwater,2022-06-23
TMP_FW_B4_T3,20220708,7.87,0.33,NA,NA,TMP,FW,B4,T3,NA,2022-06-23,09:38:00,2022-06-23T16:38:00Z,Freshwater,2022-06-23
TMP_SW_H6_T3,20220708,7.4,0.39,NA,NA,TMP,SW,H6,T3,NA,2022-06-23,09:41:00,2022-06-23T16:41:00Z,Estuarine-water,2022-06-23
TMP_SW_POOL_T3,20220708,9.17,0.84,pooled sample,pooled sample,TMP,SW,POOL,T3,NA,2022-06-23,09:41:00,2022-06-23T16:41:00Z,Estuarine-water,2022-06-23
TMP_FW_I5_T4,20220708,14.52,0.54,NA,NA,TMP,FW,I5,T4,NA,2022-06-24,12:16:00,2022-06-24T19:16:00Z,Freshwater,2022-06-24
TMP_SW_E3_T3,20220708,6.41,0.41,NA,NA,TMP,SW,E3,T3,NA,2022-06-23,09:41:00,2022-06-23T16:41:00Z,Estuarine-water,2022-06-23
TMP_FW_POOL_T4,20220708,11.12,0.46,pooled sample,pooled sample,TMP,FW,POOL,T4,NA,2022-06-24,12:16:00,2022-06-24T19:16:00Z,Freshwater,2022-06-24
TMP_C_I5_T4,20220708,26.29,1.45,NA,NA,TMP,C,I5,T4,NA,2022-06-24,12:00:00,2022-06-24T19:00:00Z,Control,2022-06-24
TMP_C_POOL_T4,20220708,20.64,0.85,pooled sample,pooled sample,TMP,C,POOL,T4,NA,2022-06-24,12:00:00,2022-06-24T19:00:00Z,Control,2022-06-24
TMP_SW_POOL_T4,20220708,9.76,0.74,pooled sample,pooled sample,TMP,SW,POOL,T4,NA,2022-06-24,12:15:00,2022-06-24T19:15:00Z,Estuarine-water,2022-06-24
TMP_SW_D5_T3,20220708,8.04,0.82,NA,NA,TMP,SW,D5,T3,NA,2022-06-23,09:41:00,2022-06-23T16:41:00Z,Estuarine-water,2022-06-23
TMP_SW_F6_T3,20220708,5.3,0.52,NA,NA,TMP,SW,F6,T3,NA,2022-06-23,09:41:00,2022-06-23T16:41:00Z,Estuarine-water,2022-06-23
TMP_C_D5_T4,20220708,19.76,0.56,NA,NA,TMP,C,D5,T4,NA,2022-06-24,12:00:00,2022-06-24T19:00:00Z,Control,2022-06-24
TMP_FW_H3_T4,20220708,9.86,0.37,NA,NA,TMP,FW,H3,T4,NA,2022-06-24,12:16:00,2022-06-24T19:16:00Z,Freshwater,2022-06-24
TMP_SW_B4_T4,20220708,8.94,0.52,NA,NA,TMP,SW,B4,T4,NA,2022-06-24,12:15:00,2022-06-24T19:15:00Z,Estuarine-water,2022-06-24
TMP_SW_F4_T4,20220708,14.84,0.64,NA,NA,TMP,SW,F4,T4,NA,2022-06-24,12:15:00,2022-06-24T19:15:00Z,Estuarine-water,2022-06-24
TMP_SW_I5_T3,20220708,15.07,1.9,NA,NA,TMP,SW,I5,T3,NA,2022-06-23,09:41:00,2022-06-23T16:41:00Z,Estuarine-water,2022-06-23
TMP_C_E3_T4,20220708,11.68,0.72,NA,NA,TMP,C,E3,T4,NA,2022-06-24,12:00:00,2022-06-24T19:00:00Z,Control,2022-06-24
TMP_FW_C3_T4,20220708,18.09,1,NA,NA,TMP,FW,C3,T4,NA,2022-06-24,12:16:00,2022-06-24T19:16:00Z,Freshwater,2022-06-24
TMP_SW_E3_T4,20220708,7.79,0.46,NA,NA,TMP,SW,E3,T4,NA,2022-06-24,12:15:00,2022-06-24T19:15:00Z,Estuarine-water,2022-06-24
TMP_SW_D5_T4,20220708,11.09,0.78,NA,NA,TMP,SW,D5,T4,NA,2022-06-24,12:15:00,2022-06-24T19:15:00Z,Estuarine-water,2022-06-24
TMP_SW_H6_T4,20220708,10.3,0.71,NA,NA,TMP,SW,H6,T4,NA,2022-06-24,12:15:00,2022-06-24T19:15:00Z,Estuarine-water,2022-06-24
TMP_FW_F4_T4,20220708,11.22,0.49,NA,NA,TMP,FW,F4,T4,NA,2022-06-24,12:16:00,2022-06-24T19:16:00Z,Freshwater,2022-06-24
TMP_FW_F6_T4,20220708,13.74,0.56,NA,NA,TMP,FW,F6,T4,NA,2022-06-24,12:16:00,2022-06-24T19:16:00Z,Freshwater,2022-06-24
TMP_SW_H3_T4,20220708,5.83,0.49,NA,NA,TMP,SW,H3,T4,NA,2022-06-24,12:15:00,2022-06-24T19:15:00Z,Estuarine-water,2022-06-24
TMP_FW_C6_T4,20220708,7.03,0.31,NA,NA,TMP,FW,C6,T4,NA,2022-06-24,12:16:00,2022-06-24T19:16:00Z,Freshwater,2022-06-24
TMP_SW_I5_T4,20220708,15.9,1.5,NA,NA,TMP,SW,I5,T4,NA,2022-06-24,12:15:00,2022-06-24T19:15:00Z,Estuarine-water,2022-06-24
TMP_FW_H6_T4,20220708,10.37,0.42,NA,NA,TMP,FW,H6,T4,NA,2022-06-24,12:16:00,2022-06-24T19:16:00Z,Freshwater,2022-06-24
TMP_C_F6_T4,20220708,19.97,0.75,NA,NA,TMP,C,F6,T4,NA,2022-06-24,12:00:00,2022-06-24T19:00:00Z,Control,2022-06-24
TMP_FW_D5_T4,20220708,8.09,0.28,NA,NA,TMP,FW,D5,T4,NA,2022-06-24,12:16:00,2022-06-24T19:16:00Z,Freshwater,2022-06-24
TMP_C_H6_T4,20220708,21.31,0.77,NA,NA,TMP,C,H6,T4,NA,2022-06-24,12:00:00,2022-06-24T19:00:00Z,Control,2022-06-24
TMP_SW_C6_T4,20220708,10.46,0.84,NA,NA,TMP,SW,C6,T4,NA,2022-06-24,12:15:00,2022-06-24T19:15:00Z,Estuarine-water,2022-06-24
TMP_FW_B4_T4,20220711,9.79,0.36,NA,NA,TMP,FW,B4,T4,NA,2022-06-24,12:16:00,2022-06-24T19:16:00Z,Freshwater,2022-06-24
TMP_C_H3_T4,20220711,22.94,0.82,NA,NA,TMP,C,H3,T4,NA,2022-06-24,12:00:00,2022-06-24T19:00:00Z,Control,2022-06-24
TMP_FW_E3_T4,20220711,10.51,0.36,NA,NA,TMP,FW,E3,T4,NA,2022-06-24,12:16:00,2022-06-24T19:16:00Z,Freshwater,2022-06-24
TMP_SW_C3_T4,20220711,14.34,1.36,NA,NA,TMP,SW,C3,T4,NA,2022-06-24,12:15:00,2022-06-24T19:15:00Z,Estuarine-water,2022-06-24
TMP_SW_F6_T4,20220711,5.81,0.39,NA,NA,TMP,SW,F6,T4,NA,2022-06-24,12:15:00,2022-06-24T19:15:00Z,Estuarine-water,2022-06-24
TMP_C_C6_20220718,20220729,12.69,1.44,NA,NA,TMP,C,C6,T5,NA,2022-07-18,13:00:00,2022-07-18T20:00:00Z,Control,2022-07-01
TMP_C_H3_20220718,20220729,20.08,0.51,NA,NA,TMP,C,H3,T5,NA,2022-07-18,13:00:00,2022-07-18T20:00:00Z,Control,2022-07-01
TMP_C_H6_20220721,20220729,16.28,1.15,NA,NA,TMP,C,H6,T5,NA,2022-07-21,12:00:00,2022-07-21T19:00:00Z,Control,2022-07-01
TMP_C_B4_20220718,20220729,7.55,0.23,NA,NA,TMP,C,B4,T5,NA,2022-07-18,13:00:00,2022-07-18T20:00:00Z,Control,2022-07-01
TMP_C_D5_20220721,20220729,8.83,0.46,NA,NA,TMP,C,D5,T5,NA,2022-07-21,12:00:00,2022-07-21T19:00:00Z,Control,2022-07-01
TMP_C_F6_20220721,20220729,16.45,0.81,NA,NA,TMP,C,F6,T5,NA,2022-07-21,12:00:00,2022-07-21T19:00:00Z,Control,2022-07-01
TMP_C_I5_20220718,20220729,18.21,0.74,NA,NA,TMP,C,I5,T5,NA,2022-07-18,11:59:00,2022-07-18T18:59:00Z,Control,2022-07-01
TMP_FW_C6_20220718,20220729,7.21,0.23,NA,NA,TMP,FW,C6,T5,NA,2022-07-18,11:15:00,2022-07-18T18:15:00Z,Freshwater,2022-07-01
TMP_FW_H6_20220718,20220729,11.01,0.46,NA,NA,TMP,FW,H6,T5,NA,2022-07-18,11:15:00,2022-07-18T18:15:00Z,Freshwater,2022-07-01
TMP_FW_B4_20220718,20220729,11.88,1.07,NA,NA,TMP,FW,B4,T5,NA,2022-07-18,11:59:00,2022-07-18T18:59:00Z,Freshwater,2022-07-01
TMP_FW_D5_20220718,20220729,12.17,1.27,NA,NA,TMP,FW,D5,T5,NA,2022-07-18,11:15:00,2022-07-18T18:15:00Z,Freshwater,2022-07-01
TMP_FW_E3_20220718,20220729,9.61,0.79,NA,NA,TMP,FW,E3,T5,NA,2022-07-18,11:15:00,2022-07-18T18:15:00Z,Freshwater,2022-07-01
TMP_FW_I5_20220718,20220729,14.7,0.57,NA,NA,TMP,FW,I5,T5,NA,2022-07-18,11:15:00,2022-07-18T18:15:00Z,Freshwater,2022-07-01
TMP_SW_C3_20220718,20220729,9.15,0.47,NA,NA,TMP,SW,C3,T5,NA,2022-07-18,12:05:00,2022-07-18T19:05:00Z,Estuarine-water,2022-07-01
TMP_SW_C6_20220718,20220729,19.29,5.07,NA,value above cal curve,TMP,SW,C6,T5,NA,2022-07-18,12:05:00,2022-07-18T19:05:00Z,Estuarine-water,2022-07-01
TMP_SW_F4_20220718,20220729,7.66,0.62,NA,NA,TMP,SW,F4,T5,NA,2022-07-18,12:05:00,2022-07-18T19:05:00Z,Estuarine-water,2022-07-01
TMP_SW_B4_20220718,20220729,21.99,0.7,NA,NA,TMP,SW,B4,T5,NA,2022-07-18,12:05:00,2022-07-18T19:05:00Z,Estuarine-water,2022-07-01
TMP_SW_D5_20220718,20220729,6.11,0.44,NA,NA,TMP,SW,D5,T5,NA,2022-07-18,12:05:00,2022-07-18T19:05:00Z,Estuarine-water,2022-07-01
TMP_SW_F6_20220718,20220729,4.94,0.41,NA,NA,TMP,SW,F6,T5,NA,2022-07-18,12:05:00,2022-07-18T19:05:00Z,Estuarine-water,2022-07-01
TMP_SW_I5_20220718,20220729,15.02,1.07,NA,NA,TMP,SW,I5,T5,NA,2022-07-18,12:05:00,2022-07-18T19:05:00Z,Estuarine-water,2022-07-01
TMP_C_H3_20220808,20220819,20.09,0.61,NA,NA,TMP,C,H3,NA,NA,2022-08-08,15:00:00,2022-08-08T22:00:00Z,Control,2022-08-01
TMP_C_H6_20220808,20220819,15.89,0.58,NA,NA,TMP,C,H6,NA,NA,2022-08-08,15:00:00,2022-08-08T22:00:00Z,Control,2022-08-01
TMP_C_B4_20220808,20220819,10.61,0.45,NA,NA,TMP,C,B4,NA,NA,2022-08-08,15:00:00,2022-08-08T22:00:00Z,Control,2022-08-01
TMP_C_D5_20220808,20220819,11.37,0.41,NA,NA,TMP,C,D5,NA,NA,2022-08-08,15:00:00,2022-08-08T22:00:00Z,Control,2022-08-01
TMP_C_E3_20220808,20220819,12.71,0.93,NA,NA,TMP,C,E3,NA,NA,2022-08-08,15:00:00,2022-08-08T22:00:00Z,Control,2022-08-01
TMP_C_F6_20220808,20220819,15.7,0.5,NA,NA,TMP,C,F6,NA,NA,2022-08-08,15:00:00,2022-08-08T22:00:00Z,Control,2022-08-01
TMP_C_I5_20220808,20220819,23.39,0.71,NA,NA,TMP,C,I5,NA,NA,2022-08-08,15:00:00,2022-08-08T22:00:00Z,Control,2022-08-01
TMP_C_C3_20220808,20220819,16.66,0.49,NA,NA,TMP,C,C3,NA,NA,2022-08-08,15:00:00,2022-08-08T22:00:00Z,Control,2022-08-01
TMP_C_C6_20220808,20220819,13.45,1.73,NA,NA,TMP,C,C6,NA,NA,2022-08-08,15:00:00,2022-08-08T22:00:00Z,Control,2022-08-01
TMP_C_F4_20220808,20220819,14.43,0.59,NA,NA,TMP,C,F4,NA,NA,2022-08-08,15:00:00,2022-08-08T22:00:00Z,Control,2022-08-01
TMP_FW_C3_20220808,20220819,14.84,0.53,NA,NA,TMP,FW,C3,NA,NA,2022-08-08,12:50:00,2022-08-08T19:50:00Z,Freshwater,2022-08-01
TMP_FW_C6_20220808,20220819,9.31,0.41,NA,NA,TMP,FW,C6,NA,NA,2022-08-08,12:50:00,2022-08-08T19:50:00Z,Freshwater,2022-08-01
TMP_FW_F4_20220808,20220819,14.67,0.73,NA,NA,TMP,FW,F4,NA,NA,2022-08-08,12:50:00,2022-08-08T19:50:00Z,Freshwater,2022-08-01
TMP_FW_H3_20220808,20220819,11.59,0.46,NA,NA,TMP,FW,H3,NA,NA,2022-08-08,12:50:00,2022-08-08T19:50:00Z,Freshwater,2022-08-01
TMP_FW_H6_20220808,20220819,14.9,1.9,NA,NA,TMP,FW,H6,NA,NA,2022-08-08,12:50:00,2022-08-08T19:50:00Z,Freshwater,2022-08-01
TMP_FW_B4_20220808,20220819,12.08,0.49,NA,NA,TMP,FW,B4,NA,NA,2022-08-08,12:50:00,2022-08-08T19:50:00Z,Freshwater,2022-08-01
TMP_FW_D5_20220808,20220819,18.81,0.75,NA,NA,TMP,FW,D5,NA,NA,2022-08-08,12:50:00,2022-08-08T19:50:00Z,Freshwater,2022-08-01
TMP_FW_E3_20220808,20220819,10.3,0.54,NA,NA,TMP,FW,E3,NA,NA,2022-08-08,12:50:00,2022-08-08T19:50:00Z,Freshwater,2022-08-01
TMP_FW_I5_20220808,20220819,16.38,0.6,NA,NA,TMP,FW,I5,NA,NA,2022-08-08,12:50:00,2022-08-08T19:50:00Z,Freshwater,2022-08-01
TMP_C_POOL_20220808,20220819,15.2,0.67,pooled sample,pooled sample,TMP,C,POOL,NA,NA,2022-08-08,11:59:00,2022-08-08T18:59:00Z,Control,2022-08-01
TMP_SW_F4_20220808,20220819,33.7,1.19,NA,NA,TMP,SW,F4,NA,NA,2022-08-08,13:56:00,2022-08-08T20:56:00Z,Estuarine-water,2022-08-01
TMP_SW_H6_20220808,20220819,38.01,1.29,NA,NA,TMP,SW,H6,NA,NA,2022-08-08,13:56:00,2022-08-08T20:56:00Z,Estuarine-water,2022-08-01
TMP_SW_B4_20220808,20220819,84.9,1.95,NA,NA,TMP,SW,B4,NA,NA,2022-08-08,13:56:00,2022-08-08T20:56:00Z,Estuarine-water,2022-08-01
TMP_SW_D5_20220808,20220819,24.83,1.11,NA,NA,TMP,SW,D5,NA,NA,2022-08-08,13:56:00,2022-08-08T20:56:00Z,Estuarine-water,2022-08-01
TMP_SW_F6_20220808,20220819,12.87,0.66,NA,NA,TMP,SW,F6,NA,NA,2022-08-08,13:56:00,2022-08-08T20:56:00Z,Estuarine-water,2022-08-01
TMP_SW_I5_20220808,20220819,20.27,0.82,NA,NA,TMP,SW,I5,NA,NA,2022-08-08,13:56:00,2022-08-08T20:56:00Z,Estuarine-water,2022-08-01
TMP_SW_C3_20220808,20220819,16.19,0.6,NA,NA,TMP,SW,C3,NA,NA,2022-08-08,13:56:00,2022-08-08T20:56:00Z,Estuarine-water,2022-08-01
TMP_SW_POOL_20220808,20220819,29.48,1,pooled sample,pooled sample,TMP,SW,POOL,NA,NA,2022-08-08,11:59:00,2022-08-08T18:59:00Z,Estuarine-water,2022-08-01
TMP_FW_POOL_20220808,20220819,11.74,0.68,pooled sample,pooled sample,TMP,FW,POOL,NA,NA,2022-08-08,11:59:00,2022-08-08T18:59:00Z,Freshwater,2022-08-01
TMP_SW_E3_20220808,20220819,18.85,0.73,NA,NA,TMP,SW,E3,NA,NA,2022-08-08,11:59:00,2022-08-08T18:59:00Z,Estuarine-water,2022-08-01
TMP_C_D5_20220915,20220922,11.13,0.6,NA,NA,TMP,C,D5,NA,NA,2022-09-15,11:00:00,2022-09-15T18:00:00Z,Control,2022-09-01
TMP_C_H6_20220912,20220922,25,0.84,NA,NA,TMP,C,H6,NA,NA,2022-09-12,10:35:00,2022-09-12T17:35:00Z,Control,2022-09-01
TMP_C_H3_20220915,20220922,23.46,3.27,NA,value above cal curve,TMP,C,H3,NA,NA,2022-09-15,11:00:00,2022-09-15T18:00:00Z,Control,2022-09-01
TMP_C_C6_20220912,20220922,17.31,0.59,NA,NA,TMP,C,C6,NA,NA,2022-09-12,10:35:00,2022-09-12T17:35:00Z,Control,2022-09-01
TMP_C_I5_20220915,20220922,15.9,0.49,NA,NA,TMP,C,I5,NA,NA,2022-09-15,11:00:00,2022-09-15T18:00:00Z,Control,2022-09-01
TMP_C_E3_20220912,20220922,11.21,0.52,NA,NA,TMP,C,E3,NA,NA,2022-09-12,10:35:00,2022-09-12T17:35:00Z,Control,2022-09-01
