Site,plot,grid,Cond,Cond_units,collection_temp_C,datetime,Date_YYYYMMDD,Time_24hr,tz,evacuation_date,flag
TEMPEST,Control,C3,56.0,uS/cm,6,2025-01-31T19:37:00Z,20250131,1137,EST,2025-01-28,NA
TEMPEST,Control,F4,43.3,uS/cm,9.1,2025-01-31T19:23:00Z,20250131,1123,EST,2025-01-28,NA
TEMPEST,Control,H3,104.7,uS/cm,12.5,2025-01-31T18:51:00Z,20250131,1051,EST,2025-01-28,NA
TEMPEST,Control,H6,65.3,uS/cm,8.8,2025-01-31T19:13:00Z,20250131,1113,EST,2025-01-28,NA
TEMPEST,Control,B4,91.6,uS/cm,8.7,2025-01-31T20:19:00Z,20250131,1219,EST,2025-01-28,NA
TEMPEST,Control,D5,49.1,uS/cm,8.4,2025-01-31T20:27:00Z,20250131,1227,EST,2025-01-28,NA
TEMPEST,Control,I5,74.1,uS/cm,12.1,2025-01-31T19:00:00Z,20250131,1100,EST,2025-01-28,NA
TEMPEST,Saltwater,B4,1437.0,uS/cm,NA,2025-01-31T20:52:00Z,20250131,1252,EST,2025-01-28,temperature not recorded
TEMPEST,Saltwater,F4,466.0,uS/cm,NA,2025-01-31T21:51:00Z,20250131,1351,EST,2025-01-28,temperature not recorded
TEMPEST,Saltwater,H6,147.9,uS/cm,NA,2025-01-31T22:00:00Z,20250131,1400,EST,2025-01-28,temperature not recorded
TEMPEST,Saltwater,C3,1038.0,uS/cm,NA,2025-01-31T21:08:00Z,20250131,1308,EST,2025-01-28,temperature not recorded
TEMPEST,Saltwater,D5,507.0,uS/cm,NA,2025-01-31T21:45:00Z,20250131,1345,EST,2025-01-28,temperature not recorded
TEMPEST,Saltwater,F6,913.0,uS/cm,NA,2025-01-31T21:47:00Z,20250131,1347,EST,2025-01-28,temperature not recorded
TEMPEST,Saltwater,I5,978.0,uS/cm,NA,2025-01-31T21:59:00Z,20250131,1359,EST,2025-01-28,temperature not recorded
TEMPEST,Freshwater,C6,100.3,uS/cm,NA,2025-01-31T22:05:00Z,20250131,1405,EST,2025-01-28,temperature not recorded
TEMPEST,Freshwater,H3,39.1,uS/cm,NA,2025-01-31T22:20:00Z,20250131,1420,EST,2025-01-28,temperature not recorded
TEMPEST,Freshwater,D5,68.1,uS/cm,NA,2025-01-31T22:08:00Z,20250131,1408,EST,2025-01-28,temperature not recorded
TEMPEST,Freshwater,F6,125.9,uS/cm,NA,2025-01-31T22:33:00Z,20250131,1433,EST,2025-01-28,temperature not recorded
TEMPEST,Freshwater,I5,62.9,uS/cm,NA,2025-01-31T22:27:00Z,20250131,1427,EST,2025-01-28,temperature not recorded
TEMPEST,Control,C3,48.8,uS/cm,12,2025-02-04T18:43:00Z,20250204,1043,EST,2025-01-31,NA
TEMPEST,Control,C6,47.9,uS/cm,12.1,2025-02-04T19:07:00Z,20250204,1107,EST,2025-01-31,NA
TEMPEST,Control,H3,31.2,uS/cm,12.4,2025-02-04T17:41:00Z,20250204,941,EST,2025-01-31,NA
TEMPEST,Control,H6,84.2,uS/cm,11.4,2025-02-04T18:06:00Z,20250204,1006,EST,2025-01-31,NA
TEMPEST,Control,B4,70.8,uS/cm,11.7,2025-02-04T18:55:00Z,20250204,1055,EST,2025-01-31,NA
TEMPEST,Control,D5,49.5,uS/cm,11.3,2025-02-04T19:15:00Z,20250204,1115,EST,2025-01-31,NA
TEMPEST,Control,E3,55.5,uS/cm,12.2,2025-02-04T18:33:00Z,20250204,1033,EST,2025-01-31,NA
TEMPEST,Control,I5,57.7,uS/cm,11.5,2025-02-04T17:53:00Z,20250204,953,EST,2025-01-31,NA
TEMPEST,Saltwater,B4,633.0,uS/cm,13.5,2025-02-04T20:10:00Z,20250204,1210,EST,2025-01-31,NA
TEMPEST,Saltwater,C6,195.3,uS/cm,12.3,2025-02-04T20:30:00Z,20250204,1230,EST,2025-01-31,NA
TEMPEST,Saltwater,F4,229.0,uS/cm,12.1,2025-02-04T20:58:00Z,20250204,1258,EST,2025-01-31,NA
TEMPEST,Saltwater,H3,241.0,uS/cm,12.9,2025-02-04T21:17:00Z,20250204,1317,EST,2025-01-31,NA
TEMPEST,Saltwater,H6,121.0,uS/cm,12.3,2025-02-04T21:33:00Z,20250204,1333,EST,2025-01-31,NA
TEMPEST,Saltwater,C3,897.0,uS/cm,13,2025-02-04T20:20:00Z,20250204,1220,EST,2025-01-31,NA
TEMPEST,Saltwater,D5,270.0,uS/cm,11.9,2025-02-04T20:39:00Z,20250204,1239,EST,2025-01-31,NA
TEMPEST,Saltwater,E3,462.0,uS/cm,12.8,2025-02-04T21:06:00Z,20250204,1306,EST,2025-01-31,NA
TEMPEST,Saltwater,F6,519.0,uS/cm,12.5,2025-02-04T20:48:00Z,20250204,1248,EST,2025-01-31,NA
TEMPEST,Saltwater,I5,430.0,uS/cm,11.3,2025-02-04T21:25:00Z,20250204,1325,EST,2025-01-31,NA
TEMPEST,Freshwater,C3,101.5,uS/cm,11.1,2025-02-04T22:27:00Z,20250204,1427,EST,2025-01-31,NA
TEMPEST,Freshwater,C6,30.9,uS/cm,11.2,2025-02-04T21:58:00Z,20250204,1358,EST,2025-01-31,NA
TEMPEST,Freshwater,F4,44.7,uS/cm,10.8,2025-02-04T22:44:00Z,20250204,1444,EST,2025-01-31,NA
TEMPEST,Freshwater,H3,44.8,uS/cm,10.1,2025-02-04T22:54:00Z,20250204,1454,EST,2025-01-31,NA
TEMPEST,Freshwater,H6,95.0,uS/cm,10,2025-02-04T23:12:00Z,20250204,1512,EST,2025-01-31,NA
TEMPEST,Freshwater,B4,57.2,uS/cm,10,2025-02-04T22:07:00Z,20250204,1407,EST,2025-01-31,NA
TEMPEST,Freshwater,D5,63.9,uS/cm,10.4,2025-02-04T22:24:00Z,20250204,1424,EST,2025-01-31,NA
TEMPEST,Freshwater,E3,69.4,uS/cm,10.2,2025-02-04T22:33:00Z,20250204,1433,EST,2025-01-31,NA
TEMPEST,Freshwater,F6,78.0,uS/cm,8.8,2025-02-04T23:22:00Z,20250204,1522,EST,2025-01-31,NA
TEMPEST,Freshwater,I5,103.9,uS/cm,10.2,2025-02-04T23:02:00Z,20250204,1502,EST,2025-01-31,NA
TEMPEST,Control,C6,92.0,uS/cm,22.4,2025-04-03T20:50:00Z,20250403,1350,EDT,2025-03-31,NA
TEMPEST,Control,H3,49.7,uS/cm,27.8,2025-04-03T21:20:00Z,20250403,1420,EDT,2025-03-31,NA
TEMPEST,Control,H6,70.8,uS/cm,15.6,2025-04-06T19:18:00Z,20250406,1218,EDT,NA,NA
TEMPEST,Control,B4,44.6,uS/cm,24.3,2025-04-03T20:58:00Z,20250403,1358,EDT,2025-03-31,NA
TEMPEST,Control,F6,109.6,uS/cm,17.5,2025-04-06T19:09:00Z,20250406,1209,EDT,NA,NA
TEMPEST,Control,I5,28.3,uS/cm,20.2,2025-04-03T21:24:00Z,20250403,1424,EDT,2025-03-31,NA
TEMPEST,Saltwater,C3,120.5,uS/cm,22,2025-04-03T20:36:00Z,20250403,1336,EDT,2025-03-31,NA
TEMPEST,Saltwater,C6,165.8,uS/cm,17.9,2025-04-03T19:47:00Z,20250403,1247,EDT,2025-03-31,NA
TEMPEST,Saltwater,F4,109.5,uS/cm,24,2025-04-03T20:23:00Z,20250403,1323,EDT,2025-03-31,NA
TEMPEST,Saltwater,H6,105.6,uS/cm,19.7,2025-04-03T20:09:00Z,20250403,1309,EDT,2025-03-31,NA
TEMPEST,Saltwater,B4,262.0,uS/cm,15.6,2025-04-03T19:32:00Z,20250403,1232,EDT,2025-03-31,NA
TEMPEST,Saltwater,D5,90.0,uS/cm,19.2,2025-04-03T19:55:00Z,20250403,1255,EDT,2025-03-31,NA
TEMPEST,Saltwater,E3,135.1,uS/cm,17.4,2025-04-03T20:27:00Z,20250403,1327,EDT,2025-03-31,NA
TEMPEST,Saltwater,I5,103.9,uS/cm,17.6,2025-04-06T18:49:00Z,20250406,1149,EDT,NA,NA
TEMPEST,Freshwater,C3,52.9,uS/cm,15.5,2025-04-03T17:56:00Z,20250403,1056,EDT,2025-03-31,NA
TEMPEST,Freshwater,C3,NA,uS/cm,16.4,2025-04-06T18:20:00Z,20250406,1120,EDT,2025-04-03,NA
TEMPEST,Freshwater,C6,64.2,uS/cm,14.9,2025-04-03T18:24:00Z,20250403,1124,EDT,2025-03-31,NA
TEMPEST,Freshwater,F4,40.0,uS/cm,14.9,2025-04-03T17:28:00Z,20250403,1028,EDT,2025-03-31,NA
TEMPEST,Freshwater,D5,51.6,uS/cm,14.6,2025-04-03T18:10:00Z,20250403,1110,EDT,2025-03-31,NA
TEMPEST,Freshwater,F6,31.7,uS/cm,16.5,2025-04-03T17:17:00Z,20250403,1017,EDT,2025-03-31,NA
TEMPEST,Freshwater,F6,34.4,uS/cm,17.6,2025-04-06T18:12:00Z,20250406,1112,EDT,2025-04-03,NA
TEMPEST,Freshwater,I5,94.7,uS/cm,16.7,2025-04-03T17:06:00Z,20250403,1006,EDT,2025-03-31,NA
TEMPEST,Control,H3,12.1,uS/cm,NA,2025-05-09T20:23:00Z,20250509,1323,EDT,2025-05-06,temperature not recorded
TEMPEST,Control,H6,83.7,uS/cm,NA,2025-05-09T20:31:00Z,20250509,1331,EDT,2025-05-06,temperature not recorded
TEMPEST,Control,D5,32.4,uS/cm,NA,2025-05-09T20:35:00Z,20250509,1335,EDT,2025-05-06,temperature not recorded
TEMPEST,Control,I5,32.6,uS/cm,NA,2025-05-09T20:27:00Z,20250509,1327,EDT,2025-05-06,temperature not recorded
TEMPEST,Saltwater,B4,196.9,uS/cm,NA,2025-05-09T18:52:00Z,20250509,1152,EDT,2025-05-06,temperature not recorded
TEMPEST,Saltwater,E3,0.4,uS/cm,NA,2025-05-09T18:49:00Z,20250509,1149,EDT,2025-05-06,temperature not recorded
TEMPEST,Freshwater,F4,65.3,uS/cm,NA,2025-05-09T17:31:00Z,20250509,1031,EDT,2025-05-06,temperature not recorded
TEMPEST,Freshwater,B4,129.0,uS/cm,NA,2025-05-09T17:26:00Z,20250509,1026,EDT,2025-05-06,temperature not recorded
TEMPEST,Freshwater,D5,44.5,uS/cm,NA,2025-05-09T17:22:00Z,20250509,1022,EDT,2025-05-06,temperature not recorded
TEMPEST,Freshwater,I5,92.9,uS/cm,NA,2025-05-09T17:35:00Z,20250509,1035,EDT,2025-05-06,temperature not recorded
TEMPEST,Saltwater,C6,96.5,uS/cm,20.3,2025-05-12T16:50:00Z,20250512,950,EDT,NA,NA
TEMPEST,Saltwater,B4,166.2,uS/cm,19.5,2025-05-12T16:43:00Z,20250512,943,EDT,NA,NA
TEMPEST,Saltwater,D5,145.0,uS/cm,19.8,2025-05-12T16:56:00Z,20250512,956,EDT,NA,NA
TEMPEST,Saltwater,E3,141.5,uS/cm,21.2,2025-05-12T17:13:00Z,20250512,1013,EDT,NA,NA
TEMPEST,Saltwater,F6,115.5,uS/cm,21.3,2025-05-12T17:02:00Z,20250512,1002,EDT,NA,NA
TEMPEST,Freshwater,C6,34.0,uS/cm,18.4,2025-05-12T17:30:00Z,20250512,1030,EDT,2025-05-09,NA
TEMPEST,Freshwater,F4,90.1,uS/cm,22.1,2025-05-12T17:56:00Z,20250512,1056,EDT,2025-05-09,NA
TEMPEST,Freshwater,H3,54.9,uS/cm,22,2025-05-12T17:59:00Z,20250512,1059,EDT,2025-05-09,NA
TEMPEST,Freshwater,F6,118.0,uS/cm,21.6,2025-05-12T17:47:00Z,20250512,1047,EDT,2025-05-09,NA
TEMPEST,Control,B4,26.4,uS/cm,18,2025-06-02T22:58:00Z,20250602,1558,EDT,2025-05-30,NA
TEMPEST,Control,C3,40.8,uS/cm,18.1,2025-06-02T23:09:00Z,20250602,1609,EDT,2025-05-30,NA
TEMPEST,Control,C6,54.0,uS/cm,18.2,2025-06-02T22:46:00Z,20250602,1546,EDT,2025-05-30,NA
TEMPEST,Control,F4,24.3,uS/cm,17.6,2025-06-02T23:34:00Z,20250602,1634,EDT,2025-05-30,NA
TEMPEST,Control,F6,43.3,uS/cm,17.9,2025-06-02T23:24:00Z,20250602,1624,EDT,2025-05-30,NA
TEMPEST,Control,H3,28.2,uS/cm,17.8,2025-06-02T23:43:00Z,20250602,1643,EDT,2025-05-30,NA
TEMPEST,Control,H6,47.7,uS/cm,18.5,2025-06-03T00:07:00Z,20250602,1707,EDT,2025-05-30,NA
TEMPEST,Control,I5,22.4,uS/cm,17.5,2025-06-02T23:56:00Z,20250602,1656,EDT,2025-05-30,NA
TEMPEST,Saltwater,B4,125.2,uS/cm,17.7,2025-06-02T22:31:00Z,20250602,1531,EDT,2025-05-30,NA
TEMPEST,Saltwater,C3,120.1,uS/cm,17.4,2025-06-02T22:18:00Z,20250602,1518,EDT,2025-05-30,NA
TEMPEST,Saltwater,C6,184.1,uS/cm,17,2025-06-02T19:34:00Z,20250602,1234,EDT,2025-05-30,NA
TEMPEST,Saltwater,D5,154.2,uS/cm,16.6,2025-06-02T19:48:00Z,20250602,1248,EDT,2025-05-30,NA
TEMPEST,Saltwater,E3,215.0,uS/cm,17.4,2025-06-02T22:04:00Z,20250602,1504,EDT,2025-05-30,NA
TEMPEST,Saltwater,F4,177.3,uS/cm,16.8,2025-06-02T20:38:00Z,20250602,1338,EDT,2025-05-30,NA
TEMPEST,Saltwater,F6,170.2,uS/cm,16.5,2025-06-02T19:59:00Z,20250602,1259,EDT,2025-05-30,NA
TEMPEST,Saltwater,H3,115.6,uS/cm,16.9,2025-06-02T20:23:00Z,20250602,1323,EDT,2025-05-30,NA
TEMPEST,Saltwater,H6,161.5,uS/cm,16.9,2025-06-02T20:11:00Z,20250602,1311,EDT,2025-05-30,NA
TEMPEST,Freshwater,B4,51.6,uS/cm,16.8,2025-06-02T18:59:00Z,20250602,1159,EDT,2025-05-30,NA
TEMPEST,Freshwater,C3,38.2,uS/cm,16.6,2025-06-02T18:47:00Z,20250602,1147,EDT,2025-05-30,NA
TEMPEST,Freshwater,C6,25.8,uS/cm,16.8,2025-06-02T19:21:00Z,20250602,1221,EDT,2025-05-30,NA
TEMPEST,Freshwater,D5,50.1,uS/cm,16.9,2025-06-02T19:10:00Z,20250602,1210,EDT,2025-05-30,NA
TEMPEST,Freshwater,E3,63.8,uS/cm,17.5,2025-06-02T18:38:00Z,20250602,1138,EDT,2025-05-30,NA
TEMPEST,Freshwater,F4,40.2,uS/cm,17.3,2025-06-02T18:02:00Z,20250602,1102,EDT,2025-05-30,NA
TEMPEST,Freshwater,F6,50.2,uS/cm,17.6,2025-06-02T18:25:00Z,20250602,1125,EDT,2025-05-30,NA
TEMPEST,Freshwater,H3,38.1,uS/cm,16.4,2025-06-02T17:51:00Z,20250602,1051,EDT,2025-05-30,NA
TEMPEST,Freshwater,H6,124.6,uS/cm,17.3,2025-06-02T18:13:00Z,20250602,1113,EDT,2025-05-30,NA
TEMPEST,Freshwater,I5,82.6,uS/cm,17,2025-06-02T17:33:00Z,20250602,1033,EDT,2025-05-30,NA
TEMPEST,Control,H3,23.6,uS/cm,25,2025-07-11T19:15:00Z,20250711,1215,EDT,2025-07-08,NA
TEMPEST,Control,H6,74.4,uS/cm,24.9,2025-07-11T19:24:00Z,20250711,1224,EDT,2025-07-08,NA
TEMPEST,Control,I5,28.3,uS/cm,24.7,2025-07-11T19:36:00Z,20250711,1236,EDT,2025-07-08,NA
TEMPEST,Saltwater,B4,199.2,uS/cm,24.2,2025-07-11T14:38:00Z,20250711,738,EDT,2025-07-08,NA
TEMPEST,Saltwater,D5,159.6,uS/cm,23.4,2025-07-11T15:01:00Z,20250711,801,EDT,2025-07-08,NA
TEMPEST,Saltwater,F6,161.7,uS/cm,23.6,2025-07-11T15:27:00Z,20250711,827,EDT,2025-07-08,NA
TEMPEST,Saltwater,H6,100.6,uS/cm,24.3,2025-07-11T15:55:00Z,20250711,855,EDT,2025-07-08,NA
TEMPEST,Saltwater,I5,156.4,uS/cm,24.9,2025-07-11T16:05:00Z,20250711,905,EDT,2025-07-08,NA
TEMPEST,Freshwater,C3,66.7,uS/cm,24.9,2025-07-11T17:06:00Z,20250711,1006,EDT,2025-07-08,NA
TEMPEST,Freshwater,C6,36.5,uS/cm,25,2025-07-11T17:15:00Z,20250711,1015,EDT,2025-07-08,NA
TEMPEST,Freshwater,D5,55.8,uS/cm,24.9,2025-07-11T17:27:00Z,20250711,1027,EDT,2025-07-08,NA
TEMPEST,Freshwater,H6,81.3,uS/cm,26.3,2025-07-11T18:16:00Z,20250711,1116,EDT,2025-07-08,NA
TEMPEST,Freshwater,I5,89.9,uS/cm,25.7,2025-07-11T18:10:00Z,20250711,1110,EDT,2025-07-08,NA
TEMPEST,Saltwater,C6,441.0,uS/cm,22,2025-09-29T16:25:00Z,20250929,925,EDT,2025-09-26,NA
TEMPEST,Saltwater,D5,303.0,uS/cm,21.4,2025-09-29T16:39:00Z,20250929,939,EDT,2025-09-26,NA
TEMPEST,Saltwater,H3,382.0,uS/cm,21.2,2025-09-29T17:00:00Z,20250929,1000,EDT,2025-09-26,NA
TEMPEST,Saltwater,H6,448.0,uS/cm,22.7,2025-09-26T19:15:00Z,20250926,1215,EDT,2025-09-23,NA
TEMPEST,Control,I5,76.6,uS/cm,15.9,2025-11-01T17:52:00Z,20251101,1052,EDT,2025-10-29,NA
TEMPEST,Saltwater,D5,317.0,uS/cm,14.8,2025-11-01T18:35:00Z,20251101,1135,EDT,2025-10-29,NA
TEMPEST,Saltwater,H3,394.0,uS/cm,15.9,2025-11-01T18:54:00Z,20251101,1154,EDT,2025-10-29,NA
TEMPEST,Freshwater,D5,68.8,uS/cm,16.8,2025-11-01T19:17:00Z,20251101,1217,EDT,2025-10-29,NA
TEMPEST,Freshwater,I5,101.1,uS/cm,15.1,2025-11-01T19:37:00Z,20251101,1237,EDT,2025-10-29,NA
